Iowa, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,2.75
201502,2.70
201503,1.71
201504,1.65
201505,1.98
201506,2.52
201507,3.19
201508,3.78
201509,3.80
201510,3.41
201511,4.32
201512,6.06
201601,5.36
201602,4.91
201603,4.31
201604,3.96
201605,3.79
201606,2.85
201607,3.50
201608,4.18
201609,4.89
201610,4.40
201611,3.87
201612,3.89
201701,4.00
201702,3.68
201703,3.58
201704,3.53
201705,3.64
201706,2.74
201707,2.07
201708,1.89
201709,1.01
201710,1.99
201711,1.31
201712,0.76
201801,0.71
201802,1.09
201803,1.21
201804,0.95
201805,0.80
201806,1.73
201807,1.53
201808,2.48
201809,4.14
201810,5.14
201811,5.13
201812,5.35
201901,5.14
201902,5.60
201903,5.31
201904,4.83
201905,6.32
201906,5.41
201907,4.70
201908,4.13
201909,4.47
201910,5.41
201911,5.22
201912,4.97
202001,4.88
202002,4.20
202003,4.09
202004,-0.44
202005,0.43
202006,-0.03
202007,-0.36
202008,-1.46
202009,-1.28
202010,-1.19
202011,-1.27
202012,-1.27
202101,-1.01
202102,-0.91
202103,-0.65
202104,-1.22
202105,-1.06
202106,-1.67
202107,-1.43
202108,-1.08
202109,-1.78
202110,0.90
202111,-0.34
202112,-0.44
202201,-0.43
202202,-0.66
202203,0.34
202204,0.73
202205,-0.18
202206,-0.70
