Iowa, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,0.52,-0.46
201502,1.11,0.09
201503,0.56,-1.40
201504,3.37,0.43
201505,5.06,1.01
201506,6.38,1.75
201507,5.51,1.65
201508,5.29,1.45
201509,4.18,0.51
201510,1.76,-0.53
201511,4.08,2.33
201512,4.71,3.60
201601,0.59,-0.39
201602,0.88,-0.14
201603,2.28,0.32
201604,3.19,0.25
201605,4.36,0.31
201606,3.70,-0.93
201607,5.92,2.06
201608,6.14,2.30
201609,6.12,2.45
201610,2.01,-0.28
201611,1.39,-0.36
201612,1.52,0.41
201701,1.56,0.58
201702,0.99,-0.03
201703,2.57,0.61
201704,3.80,0.86
201705,4.80,0.75
201706,3.50,-1.13
201707,2.94,-0.92
201708,3.83,-0.01
201709,2.31,-1.36
201710,5.26,2.97
201711,0.41,-1.34
201712,0.39,-0.72
201801,1.02,0.04
201802,1.54,0.52
201803,2.28,0.32
201804,1.54,-1.40
201805,4.70,0.65
201806,7.55,2.92
201807,3.39,-0.47
201808,6.42,2.58
201809,8.10,4.43
201810,4.63,2.34
201811,1.81,0.06
201812,2.10,0.99
201901,1.28,0.30
201902,2.34,1.32
201903,2.19,0.23
201904,3.03,0.09
201905,8.21,4.16
201906,3.91,-0.72
201907,3.38,-0.48
201908,3.53,-0.31
201909,6.21,2.54
201910,4.78,2.49
201911,1.49,-0.26
201912,1.28,0.17
202001,1.41,0.43
202002,0.43,-0.59
202003,2.91,0.95
202004,1.65,-1.29
202005,4.57,0.52
202006,4.95,0.32
202007,2.93,-0.93
202008,1.23,-2.61
202009,4.07,0.40
202010,1.90,-0.39
202011,2.09,0.34
202012,1.14,0.03
202101,1.24,0.26
202102,0.79,-0.23
202103,2.79,0.83
202104,1.51,-1.43
202105,3.86,-0.19
202106,3.35,-1.28
202107,4.01,0.15
202108,4.65,0.81
202109,1.81,-1.86
202110,5.00,2.71
202111,0.98,-0.77
202112,0.87,-0.24
202201,0.78,-0.20
202202,0.28,-0.74
202203,2.65,0.69
202204,3.22,0.28
202205,3.60,-0.45
202206,3.53,-1.10
