Kansas, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,44.8,4.7
201502,44.0,-2.0
201503,61.7,6.6
201504,69.6,3.0
201505,72.3,-3.5
201506,87.8,1.9
201507,90.8,-1.0
201508,87.7,-2.5
201509,87.0,5.1
201510,72.1,2.1
201511,58.5,4.0
201512,48.2,5.5
201601,42.8,2.7
201602,54.2,8.2
201603,64.8,9.7
201604,69.5,2.9
201605,73.5,-2.3
201606,90.6,4.7
201607,91.4,-0.4
201608,87.7,-2.5
201609,83.3,1.4
201610,76.0,6.0
201611,63.8,9.3
201612,42.0,-0.7
201701,43.6,3.5
201702,57.9,11.9
201703,62.5,7.4
201704,67.3,0.7
201705,75.0,-0.8
201706,88.2,2.3
201707,92.7,0.9
201708,85.0,-5.2
201709,83.8,1.9
201710,71.1,1.1
201711,57.7,3.2
201712,46.3,3.6
201801,43.4,3.3
201802,44.6,-1.4
201803,60.2,5.1
201804,62.2,-4.4
201805,84.6,8.8
201806,91.0,5.1
201807,91.1,-0.7
201808,87.4,-2.8
201809,81.0,-0.9
201810,65.0,-5.0
201811,49.8,-4.7
201812,45.4,2.7
201901,41.0,0.9
201902,37.7,-8.3
201903,50.3,-4.8
201904,69.6,3.0
201905,71.3,-4.5
201906,85.0,-0.9
201907,91.2,-0.6
201908,88.3,-1.9
201909,87.2,5.3
201910,64.1,-5.9
201911,53.8,-0.7
201912,48.6,5.9
202001,44.8,4.7
202002,46.7,0.7
202003,59.7,4.6
202004,67.5,0.9
202005,73.6,-2.2
202006,91.2,5.3
202007,90.7,-1.1
202008,89.1,-1.1
202009,79.8,-2.1
202010,66.0,-4.0
202011,62.2,7.7
202012,48.2,5.5
202101,44.4,4.3
202102,34.8,-11.2
202103,60.6,5.5
202104,65.7,-0.9
202105,72.6,-3.2
202106,88.3,2.4
202107,89.7,-2.1
202108,91.9,1.7
202109,87.6,5.7
202110,72.6,2.6
202111,60.2,5.7
202112,56.1,13.4
202201,43.5,3.4
202202,46.6,0.6
202203,58.6,3.5
202204,69.0,2.4
202205,76.9,1.1
202206,88.2,2.3
