Kansas, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,-0.39
201502,-0.37
201503,-1.12
201504,-1.03
201505,1.87
201506,1.55
201507,2.20
201508,2.26
201509,1.40
201510,1.08
201511,1.71
201512,2.45
201601,2.27
201602,1.89
201603,1.11
201604,2.27
201605,2.66
201606,1.82
201607,2.29
201608,3.00
201609,3.26
201610,2.60
201611,1.71
201612,1.41
201701,1.76
201702,0.98
201703,1.03
201704,2.11
201705,2.59
201706,-0.15
201707,-0.28
201708,0.36
201709,0.08
201710,0.36
201711,-0.62
201712,-1.13
201801,-1.40
201802,-1.57
201803,-2.09
201804,-2.19
201805,-2.67
201806,-3.05
201807,-2.84
201808,0.36
201809,0.38
201810,2.13
201811,1.94
201812,2.74
201901,3.00
201902,3.19
201903,3.37
201904,2.68
201905,5.58
201906,5.40
201907,4.93
201908,6.26
201909,5.29
201910,5.01
201911,4.34
201912,4.16
202001,4.22
202002,4.25
202003,3.95
202004,3.20
202005,3.25
202006,2.49
202007,3.40
202008,-0.27
202009,-0.60
202010,-0.79
202011,-0.94
202012,-0.93
202101,-0.50
202102,-0.80
202103,0.74
202104,0.37
202105,1.27
202106,-0.32
202107,-0.26
202108,-0.49
202109,-0.68
202110,-0.27
202111,-0.80
202112,-1.47
202201,-1.76
202202,-2.07
202203,-2.01
202204,-2.54
202205,-2.06
202206,-2.29
