Kansas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,0.37,-0.30
201502,0.83,-0.06
201503,0.49,-1.20
201504,2.76,0.28
201505,8.28,4.43
201506,3.34,-0.67
201507,4.93,1.58
201508,2.95,-0.15
201509,1.58,-1.24
201510,1.79,-0.21
201511,3.10,1.75
201512,2.36,1.51
201601,0.48,-0.19
201602,0.55,-0.34
201603,0.77,-0.92
201604,5.34,2.86
201605,4.58,0.73
201606,2.30,-1.71
201607,5.05,1.70
201608,4.90,1.80
201609,4.11,1.29
201610,1.44,-0.56
201611,0.47,-0.88
201612,0.69,-0.16
201701,1.56,0.89
201702,0.24,-0.65
201703,2.79,1.10
201704,5.07,2.59
201705,4.83,0.98
201706,3.20,-0.81
201707,2.39,-0.96
201708,3.56,0.46
201709,2.39,-0.43
201710,2.73,0.73
201711,0.16,-1.19
201712,0.11,-0.74
201801,0.39,-0.28
201802,0.60,-0.29
201803,1.02,-0.67
201804,1.21,-1.27
201805,4.10,0.25
201806,3.82,-0.19
201807,4.19,0.84
201808,4.33,1.23
201809,3.33,0.51
201810,5.86,3.86
201811,0.81,-0.54
201812,2.19,1.34
201901,1.03,0.36
201902,1.02,0.13
201903,2.12,0.43
201904,1.67,-0.81
201905,10.51,6.66
201906,4.45,0.44
201907,2.32,-1.03
201908,7.00,3.90
201909,2.02,-0.80
201910,1.96,-0.04
201911,0.65,-0.70
201912,1.28,0.43
202001,1.33,0.66
202002,1.29,0.40
202003,2.06,0.37
202004,1.37,-1.11
202005,4.09,0.24
202006,2.73,-1.28
202007,6.32,2.97
202008,1.68,-1.42
202009,1.65,-1.17
202010,1.09,-0.91
202011,1.31,-0.04
202012,0.93,0.08
202101,1.38,0.71
202102,0.22,-0.67
202103,4.04,2.35
202104,1.51,-0.97
202105,5.56,1.71
202106,2.80,-1.21
202107,2.80,-0.55
202108,2.53,-0.57
202109,2.77,-0.05
202110,3.05,1.05
202111,0.39,-0.96
202112,0.20,-0.65
202201,0.37,-0.30
202202,0.37,-0.52
202203,2.16,0.47
202204,0.98,-1.50
202205,5.37,1.52
202206,3.47,-0.54
