Kansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,32.1,3.5
201502,31.2,-2.4
201503,46.8,4.4
201504,56.4,2.9
201505,61.7,-1.7
201506,75.8,2.4
201507,78.9,0.0
201508,75.2,-2.1
201509,74.2,5.6
201510,59.2,2.7
201511,46.5,4.5
201512,37.6,6.1
201601,32.0,3.4
201602,40.8,7.2
201603,49.7,7.3
201604,56.3,2.8
201605,61.6,-1.8
201606,77.5,4.1
201607,79.7,0.8
201608,76.4,-0.9
201609,70.8,2.2
201610,61.5,5.0
201611,49.9,7.9
201612,29.8,-1.7
201701,33.0,4.4
201702,43.1,9.5
201703,48.9,6.5
201704,55.6,2.1
201705,62.2,-1.2
201706,75.1,1.7
201707,80.1,1.2
201708,73.1,-4.2
201709,70.5,1.9
201710,57.6,1.1
201711,45.2,3.2
201712,33.6,2.1
201801,29.9,1.3
201802,31.9,-1.7
201803,45.9,3.5
201804,47.6,-5.9
201805,71.1,7.7
201806,78.2,4.8
201807,78.7,-0.2
201808,75.7,-1.6
201809,70.1,1.5
201810,53.6,-2.9
201811,38.2,-3.8
201812,34.3,2.8
201901,31.3,2.7
201902,27.9,-5.7
201903,39.4,-3.0
201904,55.4,1.9
201905,60.5,-2.9
201906,72.4,-1.0
201907,78.6,-0.3
201908,77.1,-0.2
201909,75.2,6.6
201910,51.1,-5.4
201911,40.2,-1.8
201912,36.7,5.2
202001,34.0,5.4
202002,34.9,1.3
202003,47.9,5.5
202004,52.7,-0.8
202005,61.7,-1.7
202006,77.7,4.3
202007,79.2,0.3
202008,76.4,-0.9
202009,66.3,-2.3
202010,52.6,-3.9
202011,48.1,6.1
202012,35.9,4.4
202101,34.0,5.4
202102,24.1,-9.5
202103,48.1,5.7
202104,52.4,-1.1
202105,61.9,-1.5
202106,75.8,2.4
202107,77.7,-1.2
202108,79.1,1.8
202109,73.3,4.7
202110,59.1,2.6
202111,46.7,4.7
202112,41.1,9.6
202201,29.8,1.2
202202,31.9,-1.7
202203,44.0,1.6
202204,54.1,0.6
202205,64.7,1.3
202206,75.8,2.4
202207,81.1,2.2
202208,79.2,1.9
202209,72.0,3.4
202210,57.7,1.2
