Kentucky, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,41.6,-1.4
201502,36.7,-10.1
201503,55.9,-0.6
201504,69.6,2.2
201505,79.4,2.7
201506,84.6,0.3
201507,86.0,-1.7
201508,83.8,-2.5
201509,82.3,1.5
201510,69.4,-0.4
201511,61.9,5.6
201512,58.1,12.6
201601,41.4,-1.6
201602,48.2,1.4
201603,63.0,6.5
201604,70.5,3.1
201605,73.7,-3.0
201606,86.6,2.3
201607,87.8,0.1
201608,87.4,1.1
201609,84.8,4.0
201610,75.4,5.6
201611,63.0,6.7
201612,46.3,0.8
201701,48.7,5.7
201702,57.6,10.8
201703,59.4,2.9
201704,73.1,5.7
201705,76.2,-0.5
201706,83.3,-1.0
201707,87.3,-0.4
201708,83.7,-2.6
201709,79.7,-1.1
201710,71.4,1.6
201711,58.2,1.9
201712,45.4,-0.1
201801,40.1,-2.9
201802,54.5,7.7
201803,53.8,-2.7
201804,62.8,-4.6
201805,83.2,6.5
201806,86.1,1.8
201807,87.2,-0.5
201808,85.4,-0.9
201809,82.3,1.5
201810,69.7,-0.1
201811,51.0,-5.3
201812,48.7,3.2
201901,43.2,0.2
201902,52.3,5.5
201903,54.2,-2.3
201904,70.4,3.0
201905,79.2,2.5
201906,82.3,-2.0
201907,87.8,0.1
201908,86.9,0.6
201909,88.8,8.0
201910,72.8,3.0
201911,52.4,-3.9
201912,51.6,6.1
202001,48.4,5.4
202002,48.8,2.0
202003,61.4,4.9
202004,64.8,-2.6
202005,73.1,-3.6
202006,83.9,-0.4
202007,89.2,1.5
202008,84.4,-1.9
202009,78.8,-2.0
202010,68.7,-1.1
202011,62.4,6.1
202012,46.9,1.4
202101,43.2,0.2
202102,40.4,-6.4
202103,63.0,6.5
202104,66.9,-0.5
202105,74.4,-2.3
202106,84.0,-0.3
202107,85.8,-1.9
202108,86.6,0.3
202109,79.8,-1.0
202110,72.6,2.8
202111,55.6,-0.7
202112,58.9,13.4
202201,41.2,-1.8
202202,49.8,3.0
202203,61.6,5.1
202204,66.0,-1.4
202205,78.8,2.1
202206,86.7,2.4
