Kentucky, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,22.9,-1.3
201502,16.0,-10.2
201503,33.1,-1.1
201504,45.2,2.3
201505,55.2,3.1
201506,63.9,3.1
201507,67.1,2.3
201508,61.8,-1.5
201509,58.2,1.8
201510,46.1,1.9
201511,39.9,5.7
201512,39.3,12.3
201601,21.8,-2.4
201602,29.6,3.4
201603,40.4,6.2
201604,44.2,1.3
201605,52.0,-0.1
201606,63.2,2.4
201607,68.0,3.2
201608,68.4,5.1
201609,59.6,3.2
201610,49.9,5.7
201611,36.8,2.6
201612,27.8,0.8
201701,33.1,8.9
201702,34.7,8.5
201703,36.4,2.2
201704,49.9,7.0
201705,53.8,1.7
201706,60.2,-0.6
201707,66.5,1.7
201708,62.4,-0.9
201709,56.8,0.4
201710,47.4,3.2
201711,36.0,1.8
201712,26.1,-0.9
201801,19.9,-4.3
201802,34.7,8.5
201803,34.4,0.2
201804,38.6,-4.3
201805,60.5,8.4
201806,65.0,4.2
201807,66.0,1.2
201808,66.2,2.9
201809,63.9,7.5
201810,48.0,3.8
201811,32.8,-1.4
201812,32.3,5.3
201901,27.0,2.8
201902,32.4,6.2
201903,32.0,-2.2
201904,45.3,2.4
201905,57.6,5.5
201906,61.6,0.8
201907,67.0,2.2
201908,64.4,1.1
201909,60.8,4.4
201910,47.1,2.9
201911,29.9,-4.3
201912,32.5,5.5
202001,31.9,7.7
202002,30.5,4.3
202003,41.3,7.1
202004,40.8,-2.1
202005,51.4,-0.7
202006,61.2,0.4
202007,68.2,3.4
202008,65.2,1.9
202009,57.8,1.4
202010,46.8,2.6
202011,37.4,3.2
202012,27.7,0.7
202101,28.2,4.0
202102,24.1,-2.1
202103,37.9,3.7
202104,42.0,-0.9
202105,50.5,-1.6
202106,62.8,2.0
202107,65.8,1.0
202108,66.7,3.4
202109,57.9,1.5
202110,52.2,8.0
202111,31.2,-3.0
202112,36.3,9.3
202201,21.4,-2.8
202202,27.0,0.8
202203,36.5,2.3
202204,42.8,-0.1
202205,56.4,4.3
202206,61.6,0.8
