Kentucky, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,1.24
201502,1.03
201503,1.51
201504,2.86
201505,1.87
201506,2.09
201507,3.85
201508,3.54
201509,3.06
201510,3.37
201511,3.40
201512,3.81
201601,2.81
201602,2.92
201603,2.21
201604,1.71
201605,2.18
201606,1.72
201607,3.02
201608,3.31
201609,-0.46
201610,-1.24
201611,-1.88
201612,-1.19
201701,-1.08
201702,-1.75
201703,-1.71
201704,-1.70
201705,0.55
201706,0.90
201707,0.89
201708,1.28
201709,1.71
201710,2.75
201711,2.36
201712,1.95
201801,1.32
201802,2.84
201803,2.74
201804,2.80
201805,2.33
201806,2.74
201807,2.42
201808,2.69
201809,4.16
201810,4.18
201811,4.93
201812,5.06
201901,4.77
201902,6.13
201903,5.20
201904,4.86
201905,4.20
201906,5.35
201907,5.11
201908,4.63
201909,2.72
201910,3.65
201911,3.88
201912,4.26
202001,3.89
202002,4.37
202003,4.44
202004,4.43
202005,4.48
202006,4.45
202007,4.23
202008,4.54
202009,4.48
202010,5.06
202011,4.34
202012,3.89
202101,3.53
202102,3.51
202103,3.68
202104,2.95
202105,2.49
202106,2.57
202107,3.09
202108,3.54
202109,3.69
202110,4.15
202111,3.61
202112,3.26
202201,3.36
202202,3.92
202203,2.92
202204,2.78
202205,2.51
202206,1.67
