Louisiana, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,57.8,-1.8
201502,58.4,-4.6
201503,70.5,0.5
201504,78.8,1.6
201505,84.1,0.0
201506,89.6,-0.5
201507,93.9,2.0
201508,93.4,1.5
201509,89.4,1.5
201510,81.4,1.7
201511,71.9,3.0
201512,68.9,7.6
201601,59.2,-0.4
201602,66.8,3.8
201603,73.8,3.8
201604,77.9,0.7
201605,82.9,-1.2
201606,89.6,-0.5
201607,93.0,1.1
201608,90.7,-1.2
201609,89.8,1.9
201610,84.1,4.4
201611,74.5,5.6
201612,63.6,2.3
201701,66.2,6.6
201702,72.1,9.1
201703,74.8,4.8
201704,80.4,3.2
201705,81.8,-2.3
201706,86.4,-3.7
201707,91.4,-0.5
201708,88.6,-3.3
201709,87.6,-0.3
201710,81.0,1.3
201711,72.8,3.9
201712,60.4,-0.9
201801,55.0,-4.6
201802,69.4,6.4
201803,73.2,3.2
201804,74.6,-2.6
201805,88.9,4.8
201806,91.4,1.3
201807,93.2,1.3
201808,91.9,0.0
201809,88.2,0.3
201810,80.3,0.6
201811,64.4,-4.5
201812,61.5,0.2
201901,59.9,0.3
201902,66.5,3.5
201903,68.9,-1.1
201904,75.7,-1.5
201905,85.0,0.9
201906,89.7,-0.4
201907,90.5,-1.4
201908,92.6,0.7
201909,93.1,5.2
201910,79.5,-0.2
201911,67.0,-1.9
201912,64.8,3.5
202001,62.7,3.1
202002,63.7,0.7
202003,76.4,6.4
202004,77.2,0.0
202005,82.8,-1.3
202006,88.9,-1.2
202007,91.0,-0.9
202008,92.2,0.3
202009,86.1,-1.8
202010,78.9,-0.8
202011,73.5,4.6
202012,61.9,0.6
202101,60.0,0.4
202102,57.3,-5.7
202103,73.0,3.0
202104,75.3,-1.9
202105,80.9,-3.2
202106,88.8,-1.3
202107,90.5,-1.4
202108,91.9,0.0
202109,86.6,-1.3
202110,82.2,2.5
202111,68.6,-0.3
202112,71.9,10.6
202201,60.7,1.1
202202,63.3,0.3
202203,71.6,1.6
202204,78.7,1.5
202205,87.1,3.0
202206,92.8,2.7
