Louisiana, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,36.5,-2.6
201502,36.7,-5.1
201503,50.5,2.5
201504,60.9,5.5
201505,65.5,2.7
201506,71.5,2.1
201507,74.6,2.8
201508,71.7,0.5
201509,67.7,1.3
201510,57.9,2.7
201511,53.5,7.6
201512,49.2,8.7
201601,38.5,-0.6
201602,43.4,1.6
201603,53.7,5.7
201604,58.5,3.1
201605,63.7,0.9
201606,72.1,2.7
201607,74.4,2.6
201608,74.2,3.0
201609,70.5,4.1
201610,58.6,3.4
201611,50.3,4.4
201612,45.8,5.3
201701,47.5,8.4
201702,51.2,9.4
201703,53.9,5.9
201704,58.4,3.0
201705,61.8,-1.0
201706,70.6,1.2
201707,73.5,1.7
201708,73.4,2.2
201709,66.5,0.1
201710,57.3,2.1
201711,50.4,4.5
201712,41.2,0.7
201801,33.5,-5.6
201802,51.6,9.8
201803,51.2,3.2
201804,50.8,-4.6
201805,66.6,3.8
201806,72.7,3.3
201807,73.8,2.0
201808,72.1,0.9
201809,72.1,5.7
201810,61.2,6.0
201811,45.2,-0.7
201812,43.8,3.3
201901,39.9,0.8
201902,48.8,7.0
201903,47.5,-0.5
201904,54.8,-0.6
201905,67.0,4.2
201906,70.6,1.2
201907,73.0,1.2
201908,74.4,3.2
201909,71.3,4.9
201910,58.6,3.4
201911,42.4,-3.5
201912,43.5,3.0
202001,44.6,5.5
202002,44.4,2.6
202003,58.2,10.2
202004,56.1,0.7
202005,63.2,0.4
202006,70.5,1.1
202007,74.6,2.8
202008,72.3,1.1
202009,69.1,2.7
202010,57.5,2.3
202011,50.3,4.4
202012,39.9,-0.6
202101,41.2,2.1
202102,38.2,-3.6
202103,51.5,3.5
202104,54.5,-0.9
202105,63.7,0.9
202106,72.0,2.6
202107,73.2,1.4
202108,73.5,2.3
202109,67.3,0.9
202110,61.1,5.9
202111,44.0,-1.9
202112,52.9,12.4
202201,35.6,-3.5
202202,39.2,-2.6
202203,46.1,-1.9
202204,56.3,0.9
202205,66.9,4.1
202206,72.7,3.3
