Louisiana, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,-0.35
201502,-0.74
201503,0.19
201504,0.91
201505,1.61
201506,1.69
201507,-0.81
201508,-1.59
201509,-2.13
201510,0.93
201511,1.99
201512,1.69
201601,1.30
201602,0.62
201603,2.00
201604,2.19
201605,2.14
201606,2.30
201607,1.89
201608,4.46
201609,-0.17
201610,-0.98
201611,-1.48
201612,-1.30
201701,-0.92
201702,-1.84
201703,-2.27
201704,0.11
201705,1.32
201706,2.48
201707,2.14
201708,4.80
201709,-0.73
201710,-0.89
201711,-1.71
201712,-1.83
201801,-1.67
201802,-0.71
201803,-0.80
201804,-0.54
201805,-1.60
201806,-2.09
201807,-2.33
201808,-2.39
201809,0.71
201810,1.07
201811,1.76
201812,2.55
201901,2.45
201902,1.96
201903,0.91
201904,1.80
201905,2.32
201906,2.58
201907,3.05
201908,3.06
201909,1.94
201910,2.88
201911,2.09
201912,1.13
202001,1.59
202002,1.69
202003,0.81
202004,1.15
202005,1.21
202006,1.35
202007,1.69
202008,2.24
202009,2.23
202010,2.84
202011,2.36
202012,2.11
202101,1.43
202102,1.21
202103,1.05
202104,1.98
202105,3.59
202106,3.82
202107,3.99
202108,4.32
202109,5.02
202110,-0.12
202111,-0.78
202112,-1.83
202201,-2.34
202202,-2.61
202203,-2.09
202204,-2.20
202205,-2.23
202206,-2.62
