Louisiana, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,5.86,0.72
201502,3.03,-1.59
201503,5.85,0.89
201504,8.19,3.35
201505,8.24,3.08
201506,5.42,0.86
201507,3.00,-2.64
201508,2.66,-1.98
201509,2.76,-1.36
201510,7.52,4.11
201511,9.09,4.75
201512,5.69,0.22
201601,4.28,-0.86
201602,3.24,-1.38
201603,10.60,5.64
201604,6.51,1.67
201605,5.72,0.56
201606,6.03,1.47
201607,4.83,-0.81
201608,13.02,8.38
201609,3.18,-0.94
201610,0.42,-2.99
201611,2.95,-1.39
201612,6.30,0.83
201701,6.63,1.49
201702,2.33,-2.29
201703,3.64,-1.32
201704,5.58,0.74
201705,9.14,3.98
201706,8.99,4.43
201707,4.76,-0.88
201708,12.94,8.30
201709,0.88,-3.24
201710,2.61,-0.80
201711,1.58,-2.76
201712,4.98,-0.49
201801,4.70,-0.44
201802,8.22,3.60
201803,4.88,-0.08
201804,4.78,-0.06
201805,2.07,-3.09
201806,3.61,-0.95
201807,5.10,-0.54
201808,4.47,-0.17
201809,7.61,3.49
201810,5.24,1.83
201811,6.98,2.64
201812,8.73,3.26
201901,5.71,0.57
201902,4.47,-0.15
201903,2.01,-2.95
201904,8.39,3.55
201905,8.17,3.01
201906,6.38,1.82
201907,7.38,1.74
201908,4.96,0.32
201909,1.79,-2.33
201910,7.96,4.55
201911,1.68,-2.66
201912,2.97,-2.50
202001,7.54,2.40
202002,5.83,1.21
202003,3.85,-1.11
202004,6.34,1.50
202005,5.67,0.51
202006,5.33,0.77
202007,6.96,1.32
202008,6.30,1.66
202009,4.24,0.12
202010,6.10,2.69
202011,3.57,-0.77
202012,5.23,-0.24
202101,3.52,-1.62
202102,4.23,-0.39
202103,5.33,0.37
202104,8.57,3.73
202105,11.38,6.22
202106,6.75,2.19
202107,6.79,1.15
202108,6.19,1.55
202109,6.91,2.79
202110,2.56,-0.85
202111,1.33,-3.01
202112,2.72,-2.75
202201,2.50,-2.64
202202,2.98,-1.64
202203,5.87,0.91
202204,3.51,-1.33
202205,4.95,-0.21
202206,2.75,-1.81
