Maine, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,22.7,-0.9
201502,16.1,-10.0
201503,33.0,-3.2
201504,48.5,0.1
201505,68.7,6.3
201506,67.5,-3.9
201507,75.5,-1.1
201508,77.5,3.2
201509,73.7,7.8
201510,53.2,-1.1
201511,45.3,5.2
201512,37.4,9.9
201601,28.7,5.1
201602,32.3,6.2
201603,38.6,2.4
201604,49.1,0.7
201605,64.4,2.0
201606,72.0,0.6
201607,77.7,1.1
201608,77.9,3.6
201609,70.3,4.4
201610,56.4,2.1
201611,44.4,4.3
201612,29.3,1.8
201701,29.9,6.3
201702,30.7,4.6
201703,31.9,-4.3
201704,51.4,3.0
201705,60.7,-1.7
201706,72.0,0.6
201707,76.4,-0.2
201708,74.9,0.6
201709,72.3,6.4
201710,62.8,8.5
201711,41.5,1.4
201712,24.6,-2.9
201801,24.1,0.5
201802,33.3,7.2
201803,37.1,0.9
201804,46.4,-2.0
201805,67.7,5.3
201806,71.2,-0.2
201807,80.3,3.7
201808,78.6,4.3
201809,69.3,3.4
201810,49.4,-4.9
201811,35.0,-5.1
201812,29.5,2.0
201901,24.0,0.4
201902,26.3,0.2
201903,36.0,-0.2
201904,47.6,-0.8
201905,58.3,-4.1
201906,71.2,-0.2
201907,80.4,3.8
201908,75.7,1.4
201909,66.0,0.1
201910,55.1,0.8
201911,37.0,-3.1
201912,30.8,3.3
202001,29.0,5.4
202002,30.7,4.6
202003,39.7,3.5
202004,47.5,-0.9
202005,63.6,1.2
202006,74.9,3.5
202007,79.2,2.6
202008,76.8,2.5
202009,69.0,3.1
202010,53.7,-0.6
202011,46.0,5.9
202012,34.1,6.6
202101,28.0,4.4
202102,28.0,1.9
202103,40.7,4.5
202104,54.3,5.9
202105,64.9,2.5
202106,77.0,5.6
202107,73.4,-3.2
202108,78.6,4.3
202109,69.1,3.2
202110,59.1,4.8
202111,43.6,3.5
202112,32.4,4.9
202201,21.9,-1.7
202202,30.4,4.3
202203,38.1,1.9
202204,50.2,1.8
202205,67.7,5.3
202206,71.5,0.1
