Maine, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,0.00
201502,-0.57
201503,-1.22
201504,-1.19
201505,-1.61
201506,1.06
201507,1.00
201508,0.96
201509,1.10
201510,1.63
201511,0.62
201512,1.26
201601,0.82
201602,1.76
201603,1.86
201604,-0.34
201605,-0.79
201606,-0.92
201607,-0.90
201608,-0.72
201609,-1.85
201610,-1.91
201611,-2.14
201612,0.39
201701,0.65
201702,0.74
201703,0.42
201704,0.53
201705,1.40
201706,0.00
201707,-0.39
201708,-0.89
201709,-1.52
201710,0.84
201711,0.24
201712,0.31
201801,1.02
201802,1.03
201803,0.80
201804,1.50
201805,-0.79
201806,-0.84
201807,-0.82
201808,-0.90
201809,-1.29
201810,0.24
201811,1.22
201812,1.15
201901,1.99
201902,1.82
201903,1.13
201904,2.01
201905,2.37
201906,2.67
201907,2.12
201908,2.44
201909,2.17
201910,2.84
201911,2.64
201912,0.04
202001,-0.05
202002,-0.03
202003,-0.27
202004,0.46
202005,-0.38
202006,-1.14
202007,-1.32
202008,-1.76
202009,-3.11
202010,-2.23
202011,-2.23
202012,-1.28
202101,-1.75
202102,-1.52
202103,-1.97
202104,-2.13
202105,-2.30
202106,-3.04
202107,0.75
202108,0.02
202109,0.96
202110,0.88
202111,-0.41
202112,-0.59
202201,-0.88
202202,0.54
202203,0.55
202204,0.92
202205,0.39
202206,0.00
