Maine, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,3.17,-0.13
201502,1.74,-1.04
201503,1.78,-1.54
201504,3.08,-0.27
201505,2.80,-0.59
201506,5.79,2.05
201507,3.61,-0.18
201508,3.90,0.39
201509,4.82,1.13
201510,4.73,1.03
201511,2.43,-1.46
201512,5.31,1.78
201601,2.50,-0.80
201602,4.74,1.96
201603,3.74,0.42
201604,2.53,-0.82
201605,2.56,-0.83
201606,3.41,-0.33
201607,3.78,-0.01
201608,4.15,0.64
201609,1.58,-2.11
201610,3.98,0.28
201611,3.82,-0.07
201612,4.57,1.04
201701,3.83,0.53
201702,3.11,0.33
201703,2.69,-0.63
201704,4.11,0.76
201705,5.67,2.28
201706,3.73,-0.01
201707,2.84,-0.95
201708,2.45,-1.06
201709,3.08,-0.61
201710,7.17,3.47
201711,2.77,-1.12
201712,3.87,0.34
201801,4.78,1.48
201802,3.02,0.24
201803,2.95,-0.37
201804,4.65,1.30
201805,1.92,-1.47
201806,3.69,-0.05
201807,4.06,0.27
201808,3.78,0.27
201809,3.15,-0.54
201810,4.48,0.78
201811,6.18,2.29
201812,3.79,0.26
201901,5.25,1.95
201902,2.87,0.09
201903,2.19,-1.13
201904,5.37,2.02
201905,4.49,1.10
201906,4.69,0.95
201907,3.31,-0.48
201908,4.80,1.29
201909,3.46,-0.23
201910,5.73,2.03
201911,4.08,0.19
201912,3.75,0.22
202001,3.06,-0.24
202002,2.85,0.07
202003,2.70,-0.62
202004,4.17,0.82
202005,2.62,-0.77
202006,2.29,-1.45
202007,3.85,0.06
202008,2.81,-0.70
202009,1.00,-2.69
202010,6.12,2.42
202011,3.83,-0.06
202012,5.33,1.80
202101,1.89,-1.41
202102,2.90,0.12
202103,1.98,-1.34
202104,3.24,-0.11
202105,2.74,-0.65
202106,2.22,-1.52
202107,5.46,1.67
202108,2.66,-0.85
202109,6.46,2.77
202110,3.78,0.08
202111,3.28,-0.61
202112,3.15,-0.38
202201,2.42,-0.88
202202,3.82,1.04
202203,3.33,0.01
202204,4.46,1.11
202205,2.87,-0.52
202206,3.28,-0.46
