Maine, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,11.7,-1.5
201502,5.2,-9.7
201503,21.6,-4.3
201504,37.8,-0.5
201505,55.7,5.2
201506,57.5,-2.3
201507,64.8,-0.5
201508,67.2,4.2
201509,61.8,6.9
201510,43.2,-1.1
201511,37.0,4.7
201512,31.2,12.5
201601,20.1,6.9
201602,21.9,7.0
201603,29.2,3.3
201604,37.3,-1.0
201605,52.8,2.3
201606,60.5,0.7
201607,67.0,1.7
201608,66.6,3.6
201609,59.1,4.2
201610,46.9,2.6
201611,37.2,4.9
201612,20.5,1.8
201701,21.5,8.3
201702,20.6,5.7
201703,22.2,-3.7
201704,42.0,3.7
201705,50.7,0.2
201706,61.0,1.2
201707,65.2,-0.1
201708,63.3,0.3
201709,61.1,6.2
201710,52.0,7.7
201711,32.4,0.1
201712,16.4,-2.3
201801,15.0,1.8
201802,22.7,7.8
201803,28.9,3.0
201804,36.5,-1.8
201805,53.5,3.0
201806,59.0,-0.8
201807,68.8,3.5
201808,68.0,5.0
201809,57.9,3.0
201810,41.9,-2.4
201811,28.6,-3.7
201812,20.4,1.7
201901,14.1,0.9
201902,16.3,1.4
201903,24.7,-1.2
201904,38.8,0.5
201905,48.1,-2.4
201906,59.5,-0.3
201907,68.3,3.0
201908,64.5,1.5
201909,55.3,0.4
201910,46.1,1.8
201911,29.6,-2.7
201912,22.8,4.1
202001,20.8,7.6
202002,20.1,5.2
202003,29.6,3.7
202004,37.7,-0.6
202005,51.2,0.7
202006,62.5,2.7
202007,68.9,3.6
202008,65.6,2.6
202009,56.8,1.9
202010,44.7,0.4
202011,37.0,4.7
202012,27.2,8.5
202101,21.4,8.2
202102,18.5,3.6
202103,29.4,3.5
202104,43.2,4.9
202105,52.4,1.9
202106,64.9,5.1
202107,63.6,-1.7
202108,68.2,5.2
202109,59.0,4.1
202110,50.2,5.9
202111,35.4,3.1
202112,24.4,5.7
202201,10.8,-2.4
202202,19.4,4.5
202203,29.0,3.1
202204,40.6,2.3
202205,54.3,3.8
202206,60.1,0.3
