Maryland, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,-0.13
201502,-0.45
201503,-0.09
201504,-0.08
201505,-0.88
201506,2.02
201507,0.02
201508,-0.51
201509,-0.56
201510,-0.37
201511,-0.73
201512,0.20
201601,0.11
201602,0.58
201603,-1.04
201604,-1.50
201605,0.79
201606,0.85
201607,0.94
201608,0.17
201609,0.92
201610,-0.46
201611,-1.36
201612,-1.49
201701,-1.46
201702,-2.35
201703,-2.12
201704,-2.36
201705,0.69
201706,-0.68
201707,1.13
201708,1.58
201709,-0.42
201710,-0.34
201711,-0.66
201712,-1.35
201801,-1.52
201802,0.67
201803,0.34
201804,0.51
201805,1.45
201806,1.82
201807,3.26
201808,3.22
201809,4.85
201810,4.77
201811,6.07
201812,6.17
201901,5.55
201902,5.25
201903,4.87
201904,-0.44
201905,0.20
201906,0.33
201907,0.50
201908,-0.46
201909,-1.66
201910,-1.07
201911,-1.51
201912,-1.35
202001,-1.40
202002,-1.27
202003,-1.72
202004,0.62
202005,-0.24
202006,-0.32
202007,-0.53
202008,1.35
202009,1.58
202010,2.06
202011,2.58
202012,3.22
202101,2.39
202102,2.83
202103,-0.30
202104,-0.68
202105,-0.81
202106,-0.78
202107,0.00
202108,0.33
202109,1.11
202110,-0.05
202111,-0.58
202112,-1.43
202201,-1.00
202202,-1.31
202203,-1.68
202204,0.12
202205,-0.74
202206,-0.74
