Maryland, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,3.79,0.43
201502,2.03,-0.86
201503,4.26,0.48
201504,3.63,0.15
201505,2.46,-1.27
201506,9.39,5.54
201507,3.93,-0.25
201508,2.61,-1.77
201509,3.86,0.30
201510,3.71,0.60
201511,2.62,-0.36
201512,4.57,1.28
201601,3.00,-0.36
201602,4.04,1.15
201603,1.77,-2.01
201604,2.13,-1.35
201605,5.93,2.20
201606,4.17,0.32
201607,4.82,0.64
201608,2.78,-1.60
201609,6.59,3.03
201610,2.22,-0.89
201611,1.00,-1.98
201612,3.21,-0.08
201701,3.14,-0.22
201702,1.12,-1.77
201703,3.73,-0.05
201704,3.22,-0.26
201705,5.85,2.12
201706,2.11,-1.74
201707,7.76,3.58
201708,5.57,1.19
201709,2.01,-1.55
201710,3.79,0.68
201711,1.96,-1.02
201712,0.95,-2.34
201801,2.40,-0.96
201802,4.73,1.84
201803,2.78,-1.00
201804,3.75,0.27
201805,7.61,3.88
201806,5.10,1.25
201807,8.20,4.02
201808,4.95,0.57
201809,9.14,5.58
201810,4.04,0.93
201811,6.95,3.97
201812,4.97,1.68
201901,3.26,-0.10
201902,3.61,0.72
201903,4.07,0.29
201904,3.04,-0.44
201905,5.19,1.46
201906,4.23,0.38
201907,4.91,0.73
201908,3.12,-1.26
201909,0.71,-2.85
201910,5.26,2.15
201911,1.70,-1.28
201912,3.60,0.31
202001,3.04,-0.32
202002,3.19,0.30
202003,2.92,-0.86
202004,4.88,1.40
202005,3.06,-0.67
202006,3.61,-0.24
202007,4.37,0.19
202008,8.94,4.56
202009,4.02,0.46
202010,4.64,1.53
202011,4.76,1.78
202012,5.41,2.12
202101,2.07,-1.29
202102,4.34,1.45
202103,3.42,-0.36
202104,2.75,-0.73
202105,3.40,-0.33
202106,3.79,-0.06
202107,4.34,0.16
202108,5.84,1.46
202109,6.09,2.53
202110,3.46,0.35
202111,0.98,-2.00
202112,1.09,-2.20
202201,3.84,0.48
202202,2.14,-0.75
202203,2.84,-0.94
202204,3.83,0.35
202205,5.64,1.91
202206,3.59,-0.26
