Massachusetts, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,31.3,-2.0
201502,26.0,-8.7
201503,39.6,-4.2
201504,56.4,0.9
201505,75.3,7.9
201506,73.9,-1.8
201507,82.0,1.3
201508,82.1,3.7
201509,78.3,7.0
201510,60.8,-0.2
201511,55.0,6.8
201512,49.5,12.8
201601,36.9,3.6
201602,41.6,6.9
201603,51.0,7.2
201604,56.5,1.0
201605,68.1,0.7
201606,78.0,2.3
201607,84.3,3.6
201608,84.0,5.6
201609,75.4,4.1
201610,62.4,1.4
201611,51.9,3.7
201612,39.6,2.9
201701,39.0,5.7
201702,42.7,8.0
201703,40.8,-3.0
201704,60.7,5.2
201705,64.5,-2.9
201706,77.1,1.4
201707,80.0,-0.7
201708,79.1,0.7
201709,75.2,3.9
201710,68.2,7.2
201711,50.1,1.9
201712,34.1,-2.6
201801,33.6,0.3
201802,43.8,9.1
201803,42.8,-1.0
201804,52.2,-3.3
201805,72.6,5.2
201806,75.8,0.1
201807,84.3,3.6
201808,82.7,4.3
201809,73.6,2.3
201810,59.0,-2.0
201811,45.1,-3.1
201812,40.3,3.6
201901,34.8,1.5
201902,37.2,2.5
201903,43.5,-0.3
201904,57.8,2.3
201905,64.9,-2.5
201906,76.0,0.3
201907,84.8,4.1
201908,80.9,2.5
201909,73.6,2.3
201910,61.4,0.4
201911,46.5,-1.7
201912,38.8,2.1
202001,40.4,7.1
202002,40.7,6.0
202003,50.1,6.3
202004,52.3,-3.2
202005,67.7,0.3
202006,79.2,3.5
202007,84.6,3.9
202008,82.5,4.1
202009,73.9,2.6
202010,61.9,0.9
202011,55.4,7.2
202012,41.4,4.7
202101,35.9,2.6
202102,35.2,0.5
202103,49.9,6.1
202104,58.7,3.2
202105,68.9,1.5
202106,80.3,4.6
202107,78.2,-2.5
202108,81.5,3.1
202109,74.1,2.8
202110,65.0,4.0
202111,51.1,2.9
202112,43.5,6.8
202201,33.4,0.1
202202,40.7,6.0
202203,48.4,4.6
202204,57.8,2.3
202205,70.6,3.2
202206,76.6,0.9
