Massachusetts, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,1.48
201502,-0.11
201503,-0.41
201504,-0.94
201505,-2.10
201506,-1.02
201507,-1.07
201508,-1.38
201509,-1.37
201510,-1.19
201511,-1.81
201512,-1.49
201601,-1.78
201602,-0.93
201603,-1.38
201604,-1.63
201605,-1.80
201606,-2.38
201607,-2.95
201608,-3.33
201609,-3.78
201610,-3.24
201611,-3.67
201612,-3.40
201701,-2.92
201702,-2.90
201703,-2.77
201704,0.39
201705,1.08
201706,1.20
201707,1.12
201708,0.74
201709,0.37
201710,1.22
201711,-0.73
201712,-1.06
201801,0.30
201802,0.96
201803,1.07
201804,1.51
201805,-0.83
201806,0.01
201807,0.25
201808,0.88
201809,1.95
201810,2.45
201811,3.93
201812,3.59
201901,3.81
201902,3.41
201903,2.58
201904,3.32
201905,2.98
201906,2.88
201907,2.92
201908,2.68
201909,1.78
201910,2.44
201911,2.06
201912,3.01
202001,-0.68
202002,-0.58
202003,-0.78
202004,-0.04
202005,-0.50
202006,-1.01
202007,-1.53
202008,-2.16
202009,-2.72
202010,-2.20
202011,-2.36
202012,-1.20
202101,-1.59
202102,-1.44
202103,-2.06
202104,-1.81
202105,-1.22
202106,-1.71
202107,2.66
202108,2.95
202109,3.90
202110,4.65
202111,-0.58
202112,-0.86
202201,-1.07
202202,-0.17
202203,-0.60
202204,-0.56
202205,-1.23
202206,-1.56
