Massachusetts, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,4.03,0.39
201502,2.99,-0.23
201503,2.84,-1.09
201504,2.55,-1.35
201505,0.96,-2.63
201506,6.57,2.92
201507,3.15,-0.53
201508,2.95,-0.95
201509,4.19,0.40
201510,3.86,0.36
201511,2.48,-1.52
201512,4.82,0.98
201601,2.48,-1.16
201602,4.69,1.47
201603,3.04,-0.89
201604,2.94,-0.96
201605,2.98,-0.61
201606,1.77,-1.88
201607,2.27,-1.41
201608,3.18,-0.72
201609,2.36,-1.43
201610,4.91,1.41
201611,2.58,-1.42
201612,3.63,-0.21
201701,4.03,0.39
201702,2.68,-0.54
201703,3.21,-0.72
201704,5.51,1.61
201705,5.78,2.19
201706,4.45,0.80
201707,3.47,-0.21
201708,2.89,-1.01
201709,3.42,-0.37
201710,6.94,3.44
201711,1.82,-2.18
201712,2.62,-1.22
201801,4.50,0.86
201802,4.88,1.66
201803,4.45,0.52
201804,4.99,1.09
201805,2.05,-1.54
201806,4.05,0.40
201807,4.65,0.97
201808,6.24,2.34
201809,7.60,3.81
201810,4.92,1.42
201811,8.77,4.77
201812,3.93,0.09
201901,5.30,1.66
201902,3.21,-0.01
201903,2.51,-1.42
201904,6.76,2.86
201905,3.70,0.11
201906,4.35,0.70
201907,4.56,0.88
201908,3.83,-0.07
201909,1.89,-1.90
201910,6.28,2.78
201911,3.32,-0.68
201912,7.03,3.19
202001,1.83,-1.81
202002,3.31,0.09
202003,3.72,-0.21
202004,5.36,1.46
202005,2.50,-1.09
202006,2.53,-1.12
202007,2.93,-0.75
202008,2.70,-1.20
202009,2.18,-1.61
202010,5.17,1.67
202011,3.80,-0.20
202012,6.37,2.53
202101,2.27,-1.37
202102,3.21,-0.01
202103,2.19,-1.74
202104,4.34,0.44
202105,5.14,1.55
202106,2.49,-1.16
202107,10.41,6.73
202108,5.17,1.27
202109,7.48,3.69
202110,6.76,3.26
202111,2.29,-1.71
202112,3.07,-0.77
202201,2.85,-0.79
202202,4.97,1.75
202203,3.01,-0.92
202204,4.10,0.20
202205,2.23,-1.36
202206,2.74,-0.91
