Massachusetts, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,21.8,-2.3
201502,14.6,-10.4
201503,29.3,-4.9
201504,45.5,0.8
201505,61.8,6.1
201506,63.6,-0.8
201507,71.0,1.3
201508,71.1,3.6
201509,66.2,5.8
201510,50.1,0.1
201511,44.7,5.5
201512,41.8,13.7
201601,28.5,4.4
201602,30.9,5.9
201603,41.0,6.8
201604,45.0,0.3
201605,57.2,1.5
201606,66.1,1.7
201607,72.6,2.9
201608,72.5,5.0
201609,64.6,4.2
201610,52.2,2.2
201611,42.2,3.0
201612,31.0,2.9
201701,31.5,7.4
201702,33.0,8.0
201703,31.5,-2.7
201704,50.2,5.5
201705,55.2,-0.5
201706,66.0,1.6
201707,70.0,0.3
201708,68.0,0.5
201709,65.1,4.7
201710,57.5,7.5
201711,40.3,1.1
201712,26.6,-1.5
201801,24.5,0.4
201802,34.3,9.3
201803,34.8,0.6
201804,42.3,-2.4
201805,60.8,5.1
201806,64.8,0.4
201807,73.3,3.6
201808,73.5,6.0
201809,65.2,4.8
201810,50.3,0.3
201811,37.8,-1.4
201812,32.1,4.0
201901,25.9,1.8
201902,28.5,3.5
201903,33.7,-0.5
201904,47.7,3.0
201905,55.3,-0.4
201906,65.5,1.1
201907,73.8,4.1
201908,69.8,2.3
201909,62.0,1.6
201910,52.4,2.4
201911,37.4,-1.8
201912,30.5,2.4
202001,32.0,7.9
202002,32.4,7.4
202003,40.2,6.0
202004,43.1,-1.6
202005,56.2,0.5
202006,67.6,3.2
202007,74.6,4.9
202008,71.7,4.2
202009,62.8,2.4
202010,52.4,2.4
202011,44.7,5.5
202012,33.1,5.0
202101,28.8,4.7
202102,27.6,2.6
202103,38.3,4.1
202104,47.8,3.1
202105,57.6,1.9
202106,69.2,4.8
202107,69.8,0.1
202108,72.7,5.2
202109,64.8,4.4
202110,56.3,6.3
202111,40.7,1.5
202112,36.0,7.9
202201,23.4,-0.7
202202,29.8,4.8
202203,38.1,3.9
202204,47.0,2.3
202205,59.8,4.1
202206,65.5,1.1
