Michigan, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,24.7,-1.3
201502,18.6,-9.7
201503,39.3,0.6
201504,54.7,1.9
201505,69.4,3.5
201506,73.8,-1.7
201507,79.7,-0.6
201508,77.0,-0.6
201509,75.5,5.8
201510,58.3,0.7
201511,50.5,8.5
201512,41.5,11.3
201601,28.8,2.8
201602,33.3,5.0
201603,45.4,6.7
201604,51.3,-1.5
201605,68.0,2.1
201606,77.0,1.5
201607,81.7,1.4
201608,81.4,3.8
201609,73.7,4.0
201610,60.9,3.3
201611,51.7,9.7
201612,31.0,0.8
201701,31.4,5.4
201702,38.5,10.2
201703,39.1,0.4
201704,58.0,5.2
201705,64.0,-1.9
201706,76.6,1.1
201707,79.7,-0.6
201708,75.7,-1.9
201709,74.7,5.0
201710,62.3,4.7
201711,41.7,-0.3
201712,28.0,-2.2
201801,27.9,1.9
201802,31.8,3.5
201803,38.8,0.1
201804,45.4,-7.4
201805,73.4,7.5
201806,76.5,1.0
201807,82.5,2.2
201808,80.3,2.7
201809,72.7,3.0
201810,54.3,-3.3
201811,36.1,-5.9
201812,34.6,4.4
201901,24.6,-1.4
201902,28.2,-0.1
201903,37.7,-1.0
201904,52.2,-0.6
201905,62.7,-3.2
201906,74.0,-1.5
201907,82.5,2.2
201908,78.0,0.4
201909,71.7,2.0
201910,56.2,-1.4
201911,37.2,-4.8
201912,34.9,4.7
202001,32.6,6.6
202002,31.8,3.5
202003,43.8,5.1
202004,50.5,-2.3
202005,64.2,-1.7
202006,78.9,3.4
202007,84.0,3.7
202008,79.7,2.1
202009,68.7,-1.0
202010,53.4,-4.2
202011,50.3,8.3
202012,34.3,4.1
202101,30.9,4.9
202102,26.7,-1.6
202103,48.2,9.5
202104,55.8,3.0
202105,66.4,0.5
202106,79.3,3.8
202107,79.5,-0.8
202108,81.9,4.3
202109,72.6,2.9
202110,63.5,5.9
202111,44.1,2.1
202112,37.4,7.2
202201,24.0,-2.0
202202,28.5,0.2
202203,40.2,1.5
202204,49.4,-3.4
202205,69.1,3.2
202206,77.4,1.9
