Michigan, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,8.5,-1.7
201502,-2.6,-12.6
201503,17.9,-1.4
201504,31.8,0.9
201505,45.1,3.8
201506,51.2,0.2
201507,56.0,0.1
201508,56.7,2.6
201509,53.7,6.4
201510,39.4,2.1
201511,32.1,5.0
201512,29.7,13.4
201601,15.8,5.6
201602,17.4,7.4
201603,26.7,7.4
201604,30.4,-0.5
201605,42.9,1.6
201606,52.4,1.4
201607,58.9,3.0
201608,60.1,6.0
201609,53.3,6.0
201610,42.2,4.9
201611,33.6,6.5
201612,19.1,2.8
201701,19.2,9.0
201702,21.3,11.3
201703,22.2,2.9
201704,36.4,5.5
201705,42.1,0.8
201706,53.9,2.9
201707,57.3,1.4
201708,54.7,0.6
201709,50.5,3.2
201710,42.7,5.4
201711,27.3,0.2
201712,13.8,-2.5
201801,12.1,1.9
201802,14.2,4.2
201803,20.4,1.1
201804,25.1,-5.8
201805,47.0,5.7
201806,53.8,2.8
201807,58.5,2.6
201808,59.2,5.1
201809,52.1,4.8
201810,37.5,0.2
201811,25.4,-1.7
201812,22.8,6.5
201901,9.1,-1.1
201902,11.7,1.7
201903,17.4,-1.9
201904,32.7,1.8
201905,40.9,-0.4
201906,51.1,0.1
201907,59.3,3.4
201908,54.6,0.5
201909,52.8,5.5
201910,38.8,1.5
201911,24.3,-2.8
201912,21.8,5.5
202001,21.3,11.1
202002,15.6,5.6
202003,26.2,6.9
202004,29.9,-1.0
202005,42.2,0.9
202006,52.9,1.9
202007,60.9,5.0
202008,57.5,3.4
202009,47.6,0.3
202010,35.4,-1.9
202011,32.0,4.9
202012,22.8,6.5
202101,18.9,8.7
202102,8.1,-1.9
202103,25.2,5.9
202104,34.3,3.4
202105,41.6,0.3
202106,56.0,5.0
202107,57.8,1.9
202108,60.0,5.9
202109,50.1,2.8
202110,46.8,9.5
202111,28.5,1.4
202112,22.6,6.3
202201,6.8,-3.4
202202,10.4,0.4
202203,21.6,2.3
202204,30.9,0.0
202205,45.9,4.6
202206,52.3,1.3
