Michigan, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,-0.31
201502,-0.67
201503,-1.36
201504,-1.39
201505,-0.85
201506,-0.27
201507,-0.32
201508,-0.23
201509,-0.85
201510,-1.05
201511,-1.25
201512,0.87
201601,0.78
201602,0.97
201603,1.74
201604,1.79
201605,-0.36
201606,-0.94
201607,0.34
201608,1.07
201609,0.96
201610,1.08
201611,-0.57
201612,0.22
201701,0.93
201702,1.22
201703,1.75
201704,2.32
201705,2.32
201706,2.78
201707,2.55
201708,2.60
201709,1.14
201710,2.71
201711,3.10
201712,2.84
201801,2.56
201802,3.36
201803,2.43
201804,2.94
201805,2.88
201806,2.24
201807,1.70
201808,1.94
201809,1.49
201810,2.58
201811,2.94
201812,2.67
201901,2.79
201902,3.55
201903,3.06
201904,3.38
201905,4.16
201906,4.27
201907,3.92
201908,3.09
201909,3.49
201910,4.85
201911,5.09
201912,5.60
202001,5.80
202002,4.86
202003,4.74
202004,4.66
202005,4.82
202006,4.01
202007,4.02
202008,3.81
202009,3.23
202010,3.57
202011,-0.22
202012,-0.26
202101,-0.70
202102,-0.78
202103,-1.29
202104,-1.70
202105,-2.13
202106,0.64
202107,1.46
202108,1.62
202109,1.48
202110,1.69
202111,1.27
202112,1.61
202201,0.90
202202,1.19
202203,2.03
202204,2.55
202205,-0.15
202206,1.41
