Michigan, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,16.6,-1.5
201502,8.0,-11.1
201503,28.6,-0.4
201504,43.2,1.3
201505,57.2,3.6
201506,62.5,-0.8
201507,67.9,-0.2
201508,66.9,1.0
201509,64.6,6.1
201510,48.9,1.4
201511,41.3,6.7
201512,35.6,12.3
201601,22.3,4.2
201602,25.3,6.2
201603,36.1,7.1
201604,40.8,-1.1
201605,55.4,1.8
201606,64.7,1.4
201607,70.3,2.2
201608,70.8,4.9
201609,63.5,5.0
201610,51.6,4.1
201611,42.6,8.0
201612,25.0,1.7
201701,25.2,7.1
201702,29.9,10.8
201703,30.7,1.7
201704,47.2,5.3
201705,53.0,-0.6
201706,65.3,2.0
201707,68.5,0.4
201708,65.2,-0.7
201709,62.6,4.1
201710,52.5,5.0
201711,34.5,-0.1
201712,20.9,-2.4
201801,20.0,1.9
201802,23.0,3.9
201803,29.6,0.6
201804,35.2,-6.7
201805,60.2,6.6
201806,65.2,1.9
201807,70.5,2.4
201808,69.8,3.9
201809,62.4,3.9
201810,45.9,-1.6
201811,30.8,-3.8
201812,28.7,5.4
201901,16.8,-1.3
201902,19.9,0.8
201903,27.5,-1.5
201904,42.5,0.6
201905,51.8,-1.8
201906,62.5,-0.8
201907,70.9,2.8
201908,66.3,0.4
201909,62.3,3.8
201910,47.5,0.0
201911,30.8,-3.8
201912,28.4,5.1
202001,27.0,8.9
202002,23.7,4.6
202003,35.0,6.0
202004,40.2,-1.7
202005,53.2,-0.4
202006,66.0,2.7
202007,72.5,4.4
202008,68.6,2.7
202009,58.2,-0.3
202010,44.4,-3.1
202011,41.1,6.5
202012,28.6,5.3
202101,24.9,6.8
202102,17.4,-1.7
202103,36.8,7.8
202104,45.0,3.1
202105,54.0,0.4
202106,67.7,4.4
202107,68.7,0.6
202108,70.9,5.0
202109,61.4,2.9
202110,55.2,7.7
202111,36.3,1.7
202112,30.0,6.7
202201,15.4,-2.7
202202,19.4,0.3
202203,30.9,1.9
202204,40.1,-1.8
202205,57.5,3.9
202206,64.9,1.6
