Minnesota, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,22.2,5.7
201502,16.1,-6.8
201503,42.0,6.4
201504,57.5,4.8
201505,65.9,-0.7
201506,76.1,0.6
201507,80.5,-0.2
201508,76.8,-1.4
201509,74.9,6.6
201510,58.6,2.8
201511,44.8,8.5
201512,30.7,9.0
201601,20.3,3.8
201602,28.5,5.6
201603,45.1,9.5
201604,52.8,0.1
201605,69.4,2.8
201606,76.7,1.2
201607,79.8,-0.9
201608,78.8,0.6
201609,70.1,1.8
201610,57.7,1.9
201611,48.9,12.6
201612,22.7,1.0
201701,22.3,5.8
201702,33.6,10.7
201703,38.1,2.5
201704,55.2,2.5
201705,64.9,-1.7
201706,77.0,1.5
201707,80.9,0.2
201708,74.9,-3.3
201709,71.6,3.3
201710,57.2,1.4
201711,35.8,-0.5
201712,21.6,-0.1
201801,19.9,3.4
201802,20.3,-2.6
201803,36.9,1.3
201804,43.8,-8.9
201805,74.8,8.2
201806,77.7,2.2
201807,80.6,-0.1
201808,78.4,0.2
201809,68.7,0.4
201810,48.6,-7.2
201811,29.8,-6.5
201812,27.8,6.1
201901,15.9,-0.6
201902,15.3,-7.6
201903,33.1,-2.5
201904,51.4,-1.3
201905,61.4,-5.2
201906,76.0,0.5
201907,81.1,0.4
201908,76.0,-2.2
201909,69.4,1.1
201910,50.0,-5.8
201911,32.6,-3.7
201912,25.1,3.4
202001,22.1,5.6
202002,25.7,2.8
202003,40.0,4.4
202004,51.0,-1.7
202005,64.7,-1.9
202006,79.7,4.2
202007,82.6,1.9
202008,79.4,1.2
202009,67.6,-0.7
202010,47.9,-7.9
202011,43.8,7.5
202012,29.7,8.0
202101,26.1,9.6
202102,15.7,-7.2
202103,46.6,11.0
202104,53.1,0.4
202105,67.8,1.2
202106,83.4,7.9
202107,83.4,2.7
202108,81.1,2.9
202109,74.0,5.7
202110,61.1,5.3
202111,40.6,4.3
202112,27.3,5.6
202201,15.4,-1.1
202202,18.8,-4.1
202203,35.7,0.1
202204,44.0,-8.7
202205,66.1,-0.5
202206,78.0,2.5
