Minnesota, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,5.2,8.8
201502,-4.8,-6.0
201503,19.5,4.4
201504,31.8,1.8
201505,42.6,0.8
201506,53.3,1.3
201507,58.6,1.7
201508,54.9,0.6
201509,52.7,7.4
201510,37.2,3.0
201511,28.2,8.6
201512,19.0,14.9
201601,4.9,8.5
201602,11.4,10.2
201603,26.3,11.2
201604,32.2,2.2
201605,44.0,2.2
201606,54.4,2.4
201607,58.8,1.9
201608,57.5,3.2
201609,51.2,5.9
201610,38.6,4.4
201611,31.4,11.8
201612,7.8,3.7
201701,6.9,10.5
201702,14.2,13.0
201703,18.3,3.2
201704,33.4,3.4
201705,42.3,0.5
201706,53.0,1.0
201707,57.5,0.6
201708,53.1,-1.2
201709,49.9,4.6
201710,37.1,2.9
201711,19.0,-0.6
201712,5.2,1.1
201801,0.9,4.5
201802,-3.1,-4.3
201803,18.0,2.9
201804,21.7,-8.3
201805,47.5,5.7
201806,56.4,4.4
201807,58.7,1.8
201808,56.4,2.1
201809,49.3,4.0
201810,32.7,-1.5
201811,15.8,-3.8
201812,12.6,8.5
201901,-2.7,0.9
201902,-4.7,-5.9
201903,12.1,-3.0
201904,31.3,1.3
201905,39.6,-2.2
201906,52.8,0.8
201907,59.6,2.7
201908,54.4,0.1
201909,50.9,5.6
201910,34.7,0.5
201911,19.4,-0.2
201912,8.2,4.1
202001,6.1,9.7
202002,2.2,1.0
202003,20.9,5.8
202004,27.8,-2.2
202005,42.3,0.5
202006,55.7,3.7
202007,60.0,3.1
202008,57.0,2.7
202009,45.4,0.1
202010,29.9,-4.3
202011,24.1,4.5
202012,12.2,8.1
202101,10.4,14.0
202102,-2.7,-3.9
202103,24.6,9.5
202104,31.4,1.4
202105,42.4,0.6
202106,56.4,4.4
202107,58.8,1.9
202108,57.7,3.4
202109,49.2,3.9
202110,41.9,7.7
202111,23.7,4.1
202112,9.2,5.1
202201,-8.2,-4.6
202202,-5.8,-7.0
202203,16.6,1.5
202204,27.3,-2.7
202205,44.6,2.8
202206,54.3,2.3
