Minnesota, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,-1.57
201502,-1.75
201503,-2.30
201504,-2.77
201505,1.30
201506,1.04
201507,1.34
201508,1.54
201509,1.08
201510,1.00
201511,1.63
201512,2.57
201601,2.39
201602,2.39
201603,2.54
201604,2.27
201605,1.57
201606,1.33
201607,2.65
201608,3.51
201609,4.28
201610,4.25
201611,4.18
201612,4.63
201701,4.58
201702,4.55
201703,3.89
201704,3.56
201705,3.34
201706,2.83
201707,2.15
201708,3.01
201709,3.13
201710,3.67
201711,3.26
201712,3.13
201801,2.92
201802,3.10
201803,2.86
201804,2.55
201805,1.66
201806,2.13
201807,2.43
201808,2.02
201809,2.60
201810,3.69
201811,3.66
201812,3.97
201901,3.73
201902,4.40
201903,4.39
201904,4.35
201905,4.80
201906,4.06
201907,4.30
201908,3.91
201909,5.22
201910,6.51
201911,6.26
201912,6.68
202001,6.35
202002,-0.08
202003,0.09
202004,-0.35
202005,-0.81
202006,-0.99
202007,0.62
202008,1.11
202009,-0.62
202010,-0.29
202011,-0.37
202012,-0.37
202101,-0.35
202102,-0.42
202103,-0.36
202104,-0.10
202105,-0.89
202106,-2.47
202107,-3.78
202108,-3.64
202109,-3.76
202110,-3.32
202111,-3.45
202112,0.48
202201,0.16
202202,0.14
202203,0.06
202204,1.46
202205,2.41
202206,-0.76
