Minnesota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,13.7,7.2
201502,5.6,-6.5
201503,30.7,5.4
201504,44.6,3.3
201505,54.2,0.0
201506,64.7,1.0
201507,69.5,0.7
201508,65.9,-0.4
201509,63.8,7.0
201510,47.9,2.9
201511,36.5,8.6
201512,24.8,11.9
201601,12.6,6.1
201602,19.9,7.8
201603,35.7,10.4
201604,42.5,1.2
201605,56.7,2.5
201606,65.6,1.9
201607,69.3,0.5
201608,68.1,1.8
201609,60.7,3.9
201610,48.2,3.2
201611,40.2,12.3
201612,15.3,2.4
201701,14.6,8.1
201702,23.9,11.8
201703,28.2,2.9
201704,44.4,3.1
201705,53.6,-0.6
201706,65.0,1.3
201707,69.2,0.4
201708,64.0,-2.3
201709,60.8,4.0
201710,47.1,2.1
201711,27.4,-0.5
201712,13.4,0.5
201801,10.4,3.9
201802,8.6,-3.5
201803,27.5,2.2
201804,32.7,-8.6
201805,61.1,6.9
201806,67.0,3.3
201807,69.7,0.9
201808,67.4,1.1
201809,59.0,2.2
201810,40.7,-4.3
201811,22.8,-5.1
201812,20.2,7.3
201901,6.6,0.1
201902,5.3,-6.8
201903,22.6,-2.7
201904,41.4,0.1
201905,50.5,-3.7
201906,64.4,0.7
201907,70.4,1.6
201908,65.2,-1.1
201909,60.2,3.4
201910,42.4,-2.6
201911,26.0,-1.9
201912,16.6,3.7
202001,14.1,7.6
202002,14.0,1.9
202003,30.4,5.1
202004,39.4,-1.9
202005,53.5,-0.7
202006,67.7,4.0
202007,71.3,2.5
202008,68.2,1.9
202009,56.5,-0.3
202010,38.9,-6.1
202011,33.9,6.0
202012,21.0,8.1
202101,18.2,11.7
202102,6.5,-5.6
202103,35.6,10.3
202104,42.2,0.9
202105,55.1,0.9
202106,69.9,6.2
202107,71.1,2.3
202108,69.4,3.1
202109,61.6,4.8
202110,51.5,6.5
202111,32.2,4.3
202112,18.2,5.3
202201,3.6,-2.9
202202,6.5,-5.6
202203,26.1,0.8
202204,35.7,-5.6
202205,55.4,1.2
202206,66.2,2.5
