Mississippi, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,54.8,-1.0
201502,52.8,-6.8
201503,67.9,0.5
201504,77.0,1.4
201505,83.3,0.3
201506,89.3,-0.5
201507,92.9,1.0
201508,91.6,0.0
201509,88.4,1.4
201510,78.7,1.0
201511,69.0,2.8
201512,66.8,9.2
201601,54.4,-1.4
201602,62.6,3.0
201603,71.6,4.2
201604,76.4,0.8
201605,81.6,-1.4
201606,90.8,1.0
201607,92.7,0.8
201608,91.4,-0.2
201609,91.1,4.1
201610,84.0,6.3
201611,72.5,6.3
201612,59.6,2.0
201701,62.5,6.7
201702,69.1,9.5
201703,71.6,4.2
201704,79.6,4.0
201705,81.3,-1.7
201706,85.7,-4.1
201707,90.8,-1.1
201708,88.1,-3.5
201709,85.6,-1.4
201710,78.7,1.0
201711,68.9,2.7
201712,57.2,-0.4
201801,51.0,-4.8
201802,66.8,7.2
201803,68.8,1.4
201804,71.8,-3.8
201805,87.6,4.6
201806,90.8,1.0
201807,91.7,-0.2
201808,90.6,-1.0
201809,87.9,0.9
201810,78.1,0.4
201811,60.2,-6.0
201812,58.2,0.6
201901,55.9,0.1
201902,64.9,5.3
201903,66.4,-1.0
201904,74.6,-1.0
201905,84.7,1.7
201906,88.5,-1.3
201907,90.4,-1.5
201908,91.6,0.0
201909,93.7,6.7
201910,77.2,-0.5
201911,62.9,-3.3
201912,60.7,3.1
202001,59.8,4.0
202002,60.7,1.1
202003,73.9,6.5
202004,74.5,-1.1
202005,81.5,-1.5
202006,88.1,-1.7
202007,91.3,-0.6
202008,90.4,-1.2
202009,84.7,-2.3
202010,77.2,-0.5
202011,70.9,4.7
202012,58.8,1.2
202101,56.3,0.5
202102,54.2,-5.4
202103,71.6,4.2
202104,74.1,-1.5
202105,80.4,-2.6
202106,87.6,-2.2
202107,89.4,-2.5
202108,90.4,-1.2
202109,85.2,-1.8
202110,79.3,1.6
202111,65.7,-0.5
202112,69.0,11.4
202201,56.5,0.7
202202,61.3,1.7
202203,70.8,3.4
202204,76.4,0.8
202205,86.2,3.2
202206,92.5,2.7
