Mississippi, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,32.9,-1.5
201502,31.0,-6.1
201503,47.4,3.6
201504,57.0,5.5
201505,61.3,1.8
201506,69.1,2.3
201507,72.6,2.8
201508,68.5,-0.4
201509,64.2,0.9
201510,54.3,3.1
201511,49.3,7.8
201512,46.5,10.5
201601,33.1,-1.3
201602,39.2,2.1
201603,48.9,5.1
201604,53.9,2.4
201605,59.4,-0.1
201606,69.5,2.7
201607,72.2,2.4
201608,72.6,3.7
201609,67.0,3.7
201610,54.4,3.2
201611,44.0,2.5
201612,39.3,3.3
201701,43.3,8.9
201702,45.1,8.0
201703,48.6,4.8
201704,55.0,3.5
201705,59.0,-0.5
201706,67.7,0.9
201707,71.6,1.8
201708,70.5,1.6
201709,63.3,0.0
201710,53.6,2.4
201711,44.8,3.3
201712,37.0,1.0
201801,29.2,-5.2
201802,46.9,9.8
201803,45.4,1.6
201804,46.0,-5.5
201805,64.0,4.5
201806,70.4,3.6
201807,71.8,2.0
201808,69.9,1.0
201809,69.8,6.5
201810,56.6,5.4
201811,40.9,-0.6
201812,39.8,3.8
201901,36.6,2.2
201902,45.2,8.1
201903,43.0,-0.8
201904,51.6,0.1
201905,64.0,4.5
201906,68.0,1.2
201907,71.2,1.4
201908,71.3,2.4
201909,68.8,5.5
201910,56.0,4.8
201911,37.7,-3.8
201912,40.6,4.6
202001,40.5,6.1
202002,41.6,4.5
202003,54.3,10.5
202004,51.4,-0.1
202005,59.1,-0.4
202006,68.1,1.3
202007,72.9,3.1
202008,70.1,1.2
202009,66.0,2.7
202010,54.3,3.1
202011,45.8,4.3
202012,35.2,-0.8
202101,37.2,2.8
202102,33.8,-3.3
202103,48.1,4.3
202104,49.4,-2.1
202105,59.4,-0.1
202106,68.6,1.8
202107,71.6,1.8
202108,71.4,2.5
202109,64.5,1.2
202110,57.4,6.2
202111,39.7,-1.8
202112,47.8,11.8
202201,32.0,-2.4
202202,36.3,-0.8
202203,43.7,-0.1
202204,51.4,-0.1
202205,63.6,4.1
202206,69.8,3.0
