Mississippi, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,-0.31
201502,-0.47
201503,0.02
201504,0.12
201505,0.50
201506,0.47
201507,-0.28
201508,-0.54
201509,-1.26
201510,0.54
201511,1.13
201512,1.26
201601,0.71
201602,0.65
201603,1.75
201604,1.65
201605,-0.56
201606,-0.82
201607,-1.02
201608,0.45
201609,-0.81
201610,-1.70
201611,-1.99
201612,-2.03
201701,-1.58
201702,-2.31
201703,-2.78
201704,-0.04
201705,0.64
201706,2.40
201707,2.27
201708,3.46
201709,-0.02
201710,0.06
201711,-0.89
201712,-0.96
201801,-1.23
201802,1.24
201803,0.92
201804,1.35
201805,-0.54
201806,-0.78
201807,-1.04
201808,0.10
201809,0.80
201810,0.56
201811,1.10
201812,1.74
201901,1.80
201902,2.20
201903,1.23
201904,2.01
201905,2.04
201906,2.26
201907,2.70
201908,3.28
201909,1.88
201910,3.70
201911,2.98
201912,2.61
202001,3.19
202002,4.10
202003,3.36
202004,3.55
202005,3.00
202006,3.47
202007,3.55
202008,3.83
202009,3.59
202010,3.94
202011,3.02
202012,2.53
202101,1.84
202102,1.72
202103,1.85
202104,2.17
202105,2.11
202106,3.71
202107,4.20
202108,5.48
202109,5.64
202110,5.26
202111,3.94
202112,2.78
202201,2.12
202202,1.88
202203,1.87
202204,1.91
202205,1.56
202206,0.87
