Mississippi, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,4.70,-0.58
201502,4.09,-0.92
201503,6.40,0.44
201504,6.09,0.81
201505,6.18,1.44
201506,4.05,-0.04
201507,4.40,-0.58
201508,3.14,-0.78
201509,1.58,-1.85
201510,5.26,2.35
201511,7.45,3.17
201512,7.23,1.66
201601,3.60,-1.68
201602,5.41,0.40
201603,10.83,4.87
201604,5.71,0.43
201605,2.52,-2.22
201606,3.71,-0.38
201607,4.90,-0.08
201608,5.79,1.87
201609,1.80,-1.63
201610,0.55,-2.36
201611,3.29,-0.99
201612,5.02,-0.55
201701,6.70,1.42
201702,2.83,-2.18
201703,4.10,-1.86
201704,5.57,0.29
201705,6.65,1.91
201706,9.39,5.30
201707,4.83,-0.15
201708,6.92,3.00
201709,2.64,-0.79
201710,2.94,0.03
201711,1.32,-2.96
201712,5.04,-0.53
201801,3.66,-1.62
201802,10.15,5.14
201803,5.57,-0.39
201804,6.61,1.33
201805,3.58,-1.16
201806,3.87,-0.22
201807,4.61,-0.37
201808,4.58,0.66
201809,6.60,3.17
201810,2.54,-0.37
201811,6.52,2.24
201812,8.52,2.95
201901,6.17,0.89
201902,7.72,2.71
201903,3.32,-2.64
201904,8.73,3.45
201905,5.97,1.23
201906,5.24,1.15
201907,6.79,1.81
201908,5.31,1.39
201909,0.41,-3.02
201910,10.22,7.31
201911,2.71,-1.57
201912,5.47,-0.10
202001,8.72,3.44
202002,9.64,4.63
202003,6.10,0.14
202004,7.21,1.93
202005,3.77,-0.97
202006,6.35,2.26
202007,6.00,1.02
202008,4.65,0.73
202009,3.57,0.14
202010,5.24,2.33
202011,2.84,-1.44
202012,4.75,-0.82
202101,3.76,-1.52
202102,5.11,0.10
202103,7.70,1.74
202104,6.96,1.68
202105,4.93,0.19
202106,9.59,5.50
202107,7.23,2.25
202108,7.52,3.60
202109,4.76,1.33
202110,3.17,0.26
202111,1.26,-3.02
202112,3.50,-2.07
202201,3.82,-1.46
202202,5.10,0.09
202203,6.93,0.97
202204,6.13,0.85
202205,4.74,0.00
202206,2.79,-1.30
