Mississippi, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,43.8,-1.3
201502,41.9,-6.4
201503,57.7,2.1
201504,67.0,3.4
201505,72.3,1.0
201506,79.2,0.9
201507,82.8,2.0
201508,80.1,-0.1
201509,76.3,1.2
201510,66.5,2.1
201511,59.2,5.3
201512,56.7,9.9
201601,43.7,-1.4
201602,50.9,2.6
201603,60.2,4.6
201604,65.2,1.6
201605,70.5,-0.8
201606,80.2,1.9
201607,82.4,1.6
201608,82.0,1.8
201609,79.0,3.9
201610,69.2,4.8
201611,58.2,4.3
201612,49.4,2.6
201701,52.9,7.8
201702,57.1,8.8
201703,60.1,4.5
201704,67.3,3.7
201705,70.1,-1.2
201706,76.7,-1.6
201707,81.2,0.4
201708,79.3,-0.9
201709,74.5,-0.6
201710,66.2,1.8
201711,56.8,2.9
201712,47.1,0.3
201801,40.1,-5.0
201802,56.9,8.6
201803,57.1,1.5
201804,58.9,-4.7
201805,75.8,4.5
201806,80.6,2.3
201807,81.8,1.0
201808,80.3,0.1
201809,78.9,3.8
201810,67.4,3.0
201811,50.5,-3.4
201812,49.0,2.2
201901,46.3,1.2
201902,55.0,6.7
201903,54.7,-0.9
201904,63.1,-0.5
201905,74.3,3.0
201906,78.3,0.0
201907,80.8,0.0
201908,81.4,1.2
201909,81.2,6.1
201910,66.6,2.2
201911,50.3,-3.6
201912,50.7,3.9
202001,50.1,5.0
202002,51.1,2.8
202003,64.1,8.5
202004,62.9,-0.7
202005,70.3,-1.0
202006,78.1,-0.2
202007,82.1,1.3
202008,80.2,0.0
202009,75.3,0.2
202010,65.8,1.4
202011,58.4,4.5
202012,47.0,0.2
202101,46.8,1.7
202102,44.0,-4.3
202103,59.8,4.2
202104,61.8,-1.8
202105,69.9,-1.4
202106,78.1,-0.2
202107,80.5,-0.3
202108,80.9,0.7
202109,74.9,-0.2
202110,68.4,4.0
202111,52.7,-1.2
202112,58.4,11.6
202201,44.3,-0.8
202202,48.8,0.5
202203,57.2,1.6
202204,63.9,0.3
202205,74.9,3.6
202206,81.2,2.9
