Missouri, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,41.6,2.4
201502,36.6,-7.7
201503,56.2,1.4
201504,69.2,3.0
201505,74.9,-0.8
201506,83.4,-0.7
201507,86.6,-2.6
201508,83.9,-3.9
201509,82.8,2.5
201510,69.6,0.1
201511,59.3,5.0
201512,51.7,9.3
201601,40.2,1.0
201602,49.6,5.3
201603,61.8,7.0
201604,69.1,2.9
201605,73.8,-1.9
201606,88.2,4.1
201607,87.8,-1.4
201608,86.1,-1.7
201609,82.9,2.6
201610,73.6,4.1
201611,62.6,8.3
201612,41.8,-0.6
201701,44.1,4.9
201702,57.2,12.9
201703,59.2,4.4
201704,69.4,3.2
201705,75.6,-0.1
201706,85.0,0.9
201707,89.6,0.4
201708,82.8,-5.0
201709,82.9,2.6
201710,70.9,1.4
201711,57.2,2.9
201712,44.3,1.9
201801,38.6,-0.6
201802,46.4,2.1
201803,54.1,-0.7
201804,60.2,-6.0
201805,84.1,8.4
201806,88.2,4.1
201807,89.6,0.4
201808,87.0,-0.8
201809,81.6,1.3
201810,67.2,-2.3
201811,46.7,-7.6
201812,45.7,3.3
201901,39.1,-0.1
201902,42.4,-1.9
201903,50.8,-4.0
201904,68.5,2.3
201905,74.4,-1.3
201906,82.5,-1.6
201907,87.7,-1.5
201908,85.0,-2.8
201909,85.6,5.3
201910,65.2,-4.3
201911,51.0,-3.3
201912,48.9,6.5
202001,42.4,3.2
202002,44.9,0.6
202003,58.7,3.9
202004,64.8,-1.4
202005,71.7,-4.0
202006,86.0,1.9
202007,89.2,0.0
202008,85.1,-2.7
202009,78.1,-2.2
202010,65.1,-4.4
202011,61.3,7.0
202012,47.1,4.7
202101,40.8,1.6
202102,33.0,-11.3
202103,61.1,6.3
202104,65.7,-0.5
202105,72.1,-3.6
202106,85.4,1.3
202107,86.4,-2.8
202108,88.0,0.2
202109,83.9,3.6
202110,70.8,1.3
202111,57.1,2.8
202112,56.0,13.6
202201,39.5,0.3
202202,44.7,0.4
202203,58.2,3.4
202204,64.3,-1.9
202205,76.2,0.5
202206,86.6,2.5
