Missouri, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,20.7,1.1
201502,15.7,-7.5
201503,32.8,0.5
201504,46.2,3.3
201505,54.8,2.1
201506,65.2,3.4
201507,68.2,2.1
201508,62.8,-1.4
201509,60.3,4.1
201510,45.8,1.2
201511,38.5,5.7
201512,33.2,9.7
201601,21.7,2.1
201602,28.5,5.3
201603,39.1,6.8
201604,45.5,2.6
201605,51.7,-1.0
201606,65.7,3.9
201607,68.4,2.3
201608,67.2,3.0
201609,60.6,4.4
201610,50.6,6.0
201611,39.3,6.5
201612,22.9,-0.6
201701,26.7,7.1
201702,33.0,9.8
201703,37.5,5.2
201704,47.7,4.8
201705,52.6,-0.1
201706,62.0,0.2
201707,67.9,1.8
201708,61.3,-2.9
201709,57.9,1.7
201710,47.2,2.6
201711,35.1,2.3
201712,24.4,0.9
201801,17.6,-2.0
201802,24.8,1.6
201803,33.9,1.6
201804,36.1,-6.8
201805,60.9,8.2
201806,66.5,4.7
201807,66.8,0.7
201808,65.8,1.6
201809,60.9,4.7
201810,45.7,1.1
201811,28.5,-4.3
201812,28.0,4.5
201901,22.9,3.3
201902,23.7,0.5
201903,30.9,-1.4
201904,44.9,2.0
201905,54.6,1.9
201906,62.2,0.4
201907,67.6,1.5
201908,65.6,1.4
201909,64.1,7.9
201910,43.3,-1.3
201911,29.4,-3.4
201912,29.0,5.5
202001,26.6,7.0
202002,26.0,2.8
202003,38.8,6.5
202004,41.4,-1.5
202005,52.3,-0.4
202006,64.1,2.3
202007,69.1,3.0
202008,63.4,-0.8
202009,56.4,0.2
202010,42.1,-2.5
202011,37.8,5.0
202012,25.5,2.0
202101,26.5,6.9
202102,15.8,-7.4
202103,38.8,6.5
202104,42.9,0.0
202105,52.4,-0.3
202106,64.2,2.4
202107,66.8,0.7
202108,66.8,2.6
202109,59.0,2.8
202110,50.4,5.8
202111,34.0,1.2
202112,33.7,10.2
202201,17.5,-2.1
202202,20.5,-2.7
202203,34.1,1.8
202204,41.7,-1.2
202205,55.6,2.9
202206,64.0,2.2
