Missouri, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,1.27
201502,1.10
201503,0.96
201504,0.64
201505,1.46
201506,2.17
201507,3.67
201508,3.80
201509,3.06
201510,2.23
201511,3.55
201512,5.31
201601,4.46
201602,3.51
201603,2.78
201604,2.36
201605,2.58
201606,1.51
201607,2.28
201608,3.18
201609,3.11
201610,-0.34
201611,-0.89
201612,-1.26
201701,-1.18
201702,-1.93
201703,0.07
201704,2.10
201705,2.34
201706,2.04
201707,1.83
201708,2.36
201709,-0.88
201710,-0.75
201711,-1.50
201712,-2.14
201801,-2.29
201802,-0.87
201803,-0.57
201804,-0.87
201805,-1.39
201806,-1.70
201807,-2.07
201808,0.55
201809,0.20
201810,0.60
201811,0.61
201812,1.17
201901,1.61
201902,2.28
201903,2.54
201904,2.10
201905,3.81
201906,3.84
201907,3.90
201908,4.66
201909,4.07
201910,4.52
201911,4.50
201912,3.86
202001,4.56
202002,4.38
202003,4.66
202004,4.35
202005,4.57
202006,3.75
202007,4.11
202008,3.62
202009,3.09
202010,3.04
202011,2.70
202012,2.21
202101,2.65
202102,2.08
202103,2.44
202104,2.45
202105,2.41
202106,2.44
202107,2.82
202108,2.51
202109,1.73
202110,2.33
202111,1.64
202112,1.25
202201,1.14
202202,1.56
202203,1.78
202204,1.97
202205,2.24
202206,-0.64
