Missouri, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,1.19,-0.90
201502,1.70,-0.32
201503,3.24,0.03
201504,3.53,-0.44
201505,7.30,2.64
201506,7.36,2.74
201507,7.93,4.22
201508,3.96,0.25
201509,2.18,-1.92
201510,1.56,-1.63
201511,7.90,4.99
201512,7.67,5.36
201601,0.90,-1.19
201602,1.02,-1.00
201603,2.99,-0.22
201604,3.71,-0.26
201605,5.78,1.12
201606,2.43,-2.19
201607,6.56,2.85
201608,6.61,2.90
201609,4.39,0.29
201610,2.29,-0.90
201611,1.49,-1.42
201612,1.27,-1.04
201701,1.84,-0.25
201702,0.59,-1.43
201703,3.90,0.69
201704,9.57,5.60
201705,5.97,1.31
201706,4.32,-0.30
201707,3.39,-0.32
201708,5.15,1.44
201709,1.02,-3.08
201710,3.78,0.59
201711,0.91,-2.00
201712,1.01,-1.30
201801,1.64,-0.45
201802,4.89,2.87
201803,3.78,0.57
201804,2.03,-1.94
201805,4.18,-0.48
201806,3.70,-0.92
201807,2.49,-1.22
201808,5.66,1.95
201809,3.52,-0.58
201810,4.68,1.49
201811,2.73,-0.18
201812,3.70,1.39
201901,3.04,0.95
201902,3.60,1.58
201903,4.20,0.99
201904,3.50,-0.47
201905,10.31,5.65
201906,5.71,1.09
201907,4.48,0.77
201908,6.16,2.45
201909,3.28,-0.82
201910,5.00,1.81
201911,2.87,-0.04
201912,1.67,-0.64
202001,4.41,2.32
202002,2.51,0.49
202003,5.51,2.30
202004,3.98,0.01
202005,6.26,1.60
202006,3.64,-0.98
202007,5.77,2.06
202008,2.91,-0.80
202009,3.10,-1.00
202010,3.68,0.49
202011,3.04,0.13
202012,1.53,-0.78
202101,3.32,1.23
202102,1.15,-0.87
202103,5.24,2.03
202104,4.36,0.39
202105,4.99,0.33
202106,5.57,0.95
202107,4.86,1.15
202108,2.99,-0.72
202109,2.31,-1.79
202110,5.94,2.75
202111,1.05,-1.86
202112,2.19,-0.12
202201,1.70,-0.39
202202,2.94,0.92
202203,4.39,1.18
202204,4.52,0.55
202205,6.26,1.60
202206,2.76,-1.86
