Missouri, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,31.2,1.8
201502,26.2,-7.6
201503,44.5,0.9
201504,57.7,3.2
201505,64.8,0.6
201506,74.3,1.3
201507,77.4,-0.3
201508,73.4,-2.6
201509,71.6,3.4
201510,57.7,0.7
201511,48.9,5.3
201512,42.4,9.4
201601,30.9,1.5
201602,39.1,5.3
201603,50.4,6.8
201604,57.3,2.8
201605,62.7,-1.5
201606,76.9,3.9
201607,78.1,0.4
201608,76.7,0.7
201609,71.7,3.5
201610,62.1,5.1
201611,51.0,7.4
201612,32.4,-0.6
201701,35.4,6.0
201702,45.1,11.3
201703,48.4,4.8
201704,58.5,4.0
201705,64.1,-0.1
201706,73.5,0.5
201707,78.8,1.1
201708,72.1,-3.9
201709,70.4,2.2
201710,59.0,2.0
201711,46.2,2.6
201712,34.3,1.3
201801,28.0,-1.4
201802,35.6,1.8
201803,44.0,0.4
201804,48.2,-6.3
201805,72.5,8.3
201806,77.4,4.4
201807,78.2,0.5
201808,76.4,0.4
201809,71.3,3.1
201810,56.4,-0.6
201811,37.6,-6.0
201812,36.8,3.8
201901,31.0,1.6
201902,33.0,-0.8
201903,40.9,-2.7
201904,56.7,2.2
201905,64.5,0.3
201906,72.4,-0.6
201907,77.6,-0.1
201908,75.3,-0.7
201909,74.8,6.6
201910,54.3,-2.7
201911,40.2,-3.4
201912,39.0,6.0
202001,34.5,5.1
202002,35.4,1.6
202003,48.8,5.2
202004,53.1,-1.4
202005,62.0,-2.2
202006,75.1,2.1
202007,79.2,1.5
202008,74.2,-1.8
202009,67.3,-0.9
202010,53.6,-3.4
202011,49.6,6.0
202012,36.3,3.3
202101,33.6,4.2
202102,24.4,-9.4
202103,49.9,6.3
202104,54.3,-0.2
202105,62.3,-1.9
202106,74.8,1.8
202107,76.6,-1.1
202108,77.4,1.4
202109,71.5,3.3
202110,60.6,3.6
202111,45.6,2.0
202112,44.8,11.8
202201,28.5,-0.9
202202,32.6,-1.2
202203,46.2,2.6
202204,53.0,-1.5
202205,65.9,1.7
202206,75.3,2.3
