Montana, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,34.6,8.2
201502,37.6,5.8
201503,52.6,12.4
201504,56.5,3.8
201505,61.7,-1.1
201506,78.2,7.1
201507,80.8,0.2
201508,81.7,2.5
201509,71.9,4.3
201510,60.4,4.9
201511,40.0,0.6
201512,32.3,2.4
201601,32.1,5.7
201602,44.0,12.2
201603,49.4,9.2
201604,57.5,4.8
201605,63.6,0.8
201606,77.5,6.4
201607,80.6,0.0
201608,79.8,0.6
201609,67.0,-0.6
201610,54.6,-0.9
201611,50.0,10.6
201612,23.0,-6.9
201701,24.6,-1.8
201702,34.9,3.1
201703,46.4,6.2
201704,53.6,0.9
201705,66.4,3.6
201706,74.8,3.7
201707,88.4,7.8
201708,81.5,2.3
201709,68.5,0.9
201710,55.1,-0.4
201711,40.2,0.8
201712,30.0,0.1
201801,31.4,5.0
201802,22.7,-9.1
201803,38.5,-1.7
201804,50.0,-2.7
201805,68.1,5.3
201806,71.4,0.3
201807,82.2,1.6
201808,79.8,0.6
201809,66.0,-1.6
201810,53.3,-2.2
201811,39.4,0.0
201812,33.9,4.0
201901,34.4,8.0
201902,15.2,-16.6
201903,37.3,-2.9
201904,52.8,0.1
201905,59.2,-3.6
201906,71.7,0.6
201907,79.2,-1.4
201908,79.4,0.2
201909,66.6,-1.0
201910,46.7,-8.8
201911,39.2,-0.2
201912,34.6,4.7
202001,32.3,5.9
202002,36.1,4.3
202003,42.7,2.5
202004,51.0,-1.7
202005,62.9,0.1
202006,72.0,0.9
202007,80.9,0.3
202008,83.9,4.7
202009,72.3,4.7
202010,51.2,-4.3
202011,43.6,4.2
202012,38.1,8.2
202101,36.0,9.6
202102,23.7,-8.1
202103,49.1,8.9
202104,53.4,0.7
202105,61.3,-1.5
202106,81.2,10.1
202107,88.8,8.2
202108,79.0,-0.2
202109,74.0,6.4
202110,57.9,2.4
202111,47.2,7.8
202112,29.2,-0.7
202201,33.4,7.0
202202,33.7,1.9
202203,45.5,5.3
202204,46.7,-6.0
202205,60.4,-2.4
202206,71.3,0.2
