Montana, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,0.65
201502,0.61
201503,-0.64
201504,-1.07
201505,-0.90
201506,-1.74
201507,-1.72
201508,-2.07
201509,-2.21
201510,-2.19
201511,-1.99
201512,-1.71
201601,-1.98
201602,-2.31
201603,-2.86
201604,-2.55
201605,-1.89
201606,-2.66
201607,-2.29
201608,-2.41
201609,0.66
201610,2.20
201611,1.30
201612,1.41
201701,1.11
201702,1.59
201703,2.01
201704,2.25
201705,-0.59
201706,-1.31
201707,-2.50
201708,-3.58
201709,0.23
201710,0.12
201711,0.30
201712,0.48
201801,0.20
201802,0.87
201803,1.28
201804,1.94
201805,1.74
201806,2.06
201807,-0.14
201808,-0.44
201809,-0.65
201810,-0.41
201811,-0.21
201812,-0.43
201901,-0.70
201902,0.52
201903,0.21
201904,0.64
201905,1.04
201906,0.90
201907,1.50
201908,1.71
201909,3.13
201910,3.55
201911,3.52
201912,3.26
202001,3.30
202002,3.61
202003,3.56
202004,3.24
202005,3.05
202006,3.15
202007,2.96
202008,-0.67
202009,-1.16
202010,-0.15
202011,-0.09
202012,-0.47
202101,-0.91
202102,-0.75
202103,-1.63
202104,-1.99
202105,-1.67
202106,-3.16
202107,-4.49
202108,-4.17
202109,-4.87
202110,-4.40
202111,-4.65
202112,-4.32
202201,-4.59
202202,-4.86
202203,-5.51
202204,-4.65
202205,-4.07
202206,-3.64
