Montana, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,1.18,-0.17
201502,0.90,-0.16
201503,0.99,-0.29
201504,1.08,-0.43
201505,2.43,0.01
201506,1.77,-1.09
201507,1.88,0.29
201508,1.01,-0.30
201509,1.29,-0.17
201510,1.40,0.15
201511,1.34,0.06
201512,1.61,0.32
201601,0.91,-0.44
201602,0.85,-0.21
201603,1.37,0.09
201604,2.33,0.82
201605,3.10,0.68
201606,1.53,-1.33
201607,2.07,0.48
201608,1.04,-0.27
201609,2.47,1.01
201610,3.36,2.11
201611,0.65,-0.63
201612,1.49,0.20
201701,0.91,-0.44
201702,1.72,0.66
201703,1.84,0.56
201704,2.13,0.62
201705,1.54,-0.88
201706,1.72,-1.14
201707,0.43,-1.16
201708,0.37,-0.94
201709,2.10,0.64
201710,1.16,-0.09
201711,1.70,0.42
201712,1.81,0.52
201801,1.16,-0.19
201802,2.12,1.06
201803,1.44,0.16
201804,2.17,0.66
201805,2.80,0.38
201806,3.62,0.76
201807,0.76,-0.83
201808,1.05,-0.26
201809,1.09,-0.37
201810,1.34,0.09
201811,1.44,0.16
201812,0.99,-0.30
201901,1.04,-0.31
201902,1.92,0.86
201903,0.63,-0.65
201904,2.18,0.67
201905,2.67,0.25
201906,2.56,-0.30
201907,2.03,0.44
201908,1.53,0.22
201909,3.58,2.12
201910,1.36,0.11
201911,1.12,-0.16
201912,0.79,-0.50
202001,1.20,-0.15
202002,1.22,0.16
202003,0.94,-0.34
202004,1.15,-0.36
202005,2.48,0.06
202006,3.43,0.57
202007,1.08,-0.51
202008,0.47,-0.84
202009,0.94,-0.52
202010,2.07,0.82
202011,1.23,-0.05
202012,0.68,-0.61
202101,0.75,-0.60
202102,1.39,0.33
202103,0.58,-0.70
202104,1.00,-0.51
202105,2.48,0.06
202106,0.83,-2.03
202107,0.65,-0.94
202108,2.05,0.74
202109,0.43,-1.03
202110,1.49,0.24
202111,0.99,-0.29
202112,1.67,0.38
202201,0.97,-0.38
202202,0.85,-0.21
202203,0.96,-0.32
202204,1.93,0.42
202205,2.39,-0.03
202206,2.88,0.02
