Nebraska, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,39.4,5.8
201502,38.8,0.2
201503,59.3,11.2
201504,64.0,3.1
201505,67.0,-4.4
201506,81.5,0.2
201507,86.1,-2.0
201508,83.8,-2.0
201509,81.9,4.9
201510,67.4,2.4
201511,51.9,3.7
201512,39.1,2.7
201601,35.6,2.0
201602,46.0,7.4
201603,58.7,10.6
201604,62.2,1.3
201605,69.8,-1.6
201606,87.4,6.1
201607,86.6,-1.5
201608,84.1,-1.7
201609,78.2,1.2
201610,70.1,5.1
201611,57.7,9.5
201612,35.5,-0.9
201701,34.1,0.5
201702,48.4,9.8
201703,54.9,6.8
201704,62.0,1.1
201705,69.8,-1.6
201706,85.0,3.7
201707,90.4,2.3
201708,81.6,-4.2
201709,78.7,1.7
201710,64.4,-0.6
201711,52.9,4.7
201712,38.1,1.7
201801,34.2,0.6
201802,33.2,-5.4
201803,50.6,2.5
201804,54.3,-6.6
201805,76.5,5.1
201806,84.6,3.3
201807,85.2,-2.9
201808,83.3,-2.5
201809,77.5,0.5
201810,59.2,-5.8
201811,45.0,-3.2
201812,37.9,1.5
201901,36.6,3.0
201902,27.5,-11.1
201903,41.8,-6.3
201904,62.8,1.9
201905,64.7,-6.7
201906,80.6,-0.7
201907,86.5,-1.6
201908,82.3,-3.5
201909,81.0,4.0
201910,57.4,-7.6
201911,47.7,-0.5
201912,40.3,3.9
202001,37.1,3.5
202002,41.7,3.1
202003,52.8,4.7
202004,61.6,0.7
202005,68.3,-3.1
202006,87.2,5.9
202007,88.0,-0.1
202008,88.0,2.2
202009,77.5,0.5
202010,60.3,-4.7
202011,57.3,9.1
202012,43.6,7.2
202101,38.4,4.8
202102,26.6,-12.0
202103,54.9,6.8
202104,60.8,-0.1
202105,69.8,-1.6
202106,86.9,5.6
202107,87.7,-0.4
202108,88.0,2.2
202109,82.4,5.4
202110,66.6,1.6
202111,56.3,8.1
202112,47.2,10.8
202201,39.4,5.8
202202,41.3,2.7
202203,52.0,3.9
202204,61.7,0.8
202205,71.5,0.1
202206,85.5,4.2
