Nebraska, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,0.21,-0.29
201502,0.68,0.02
201503,0.24,-1.04
201504,2.64,0.38
201505,5.89,2.39
201506,4.73,1.04
201507,3.33,0.28
201508,2.83,0.15
201509,2.54,0.39
201510,1.43,0.01
201511,1.95,1.10
201512,1.60,1.00
201601,0.40,-0.10
201602,0.79,0.13
201603,1.16,-0.12
201604,5.20,2.94
201605,4.39,0.89
201606,2.20,-1.49
201607,3.55,0.50
201608,2.57,-0.11
201609,2.21,0.06
201610,1.16,-0.26
201611,0.86,0.01
201612,0.82,0.22
201701,1.01,0.51
201702,0.72,0.06
201703,1.55,0.27
201704,2.56,0.30
201705,4.71,1.21
201706,1.53,-2.16
201707,2.64,-0.41
201708,4.31,1.63
201709,2.72,0.57
201710,2.96,1.54
201711,0.23,-0.62
201712,0.40,-0.20
201801,0.72,0.22
201802,0.67,0.01
201803,1.14,-0.14
201804,1.55,-0.71
201805,4.66,1.16
201806,5.26,1.57
201807,4.66,1.61
201808,2.44,-0.24
201809,2.74,0.59
201810,2.54,1.12
201811,0.87,0.02
201812,1.97,1.37
201901,0.25,-0.25
201902,0.74,0.08
201903,2.81,1.53
201904,1.75,-0.51
201905,6.59,3.09
201906,3.74,0.05
201907,4.17,1.12
201908,5.14,2.46
201909,2.49,0.34
201910,1.59,0.17
201911,0.96,0.11
201912,1.15,0.55
202001,0.58,0.08
202002,0.25,-0.41
202003,1.92,0.64
202004,0.75,-1.51
202005,4.06,0.56
202006,2.53,-1.16
202007,4.11,1.06
202008,0.92,-1.76
202009,1.04,-1.11
202010,0.65,-0.77
202011,0.81,-0.04
202012,0.62,0.02
202101,0.66,0.16
202102,0.62,-0.04
202103,4.11,2.83
202104,1.39,-0.87
202105,3.56,0.06
202106,2.22,-1.47
202107,2.55,-0.50
202108,2.84,0.16
202109,2.06,-0.09
202110,1.96,0.54
202111,0.31,-0.54
202112,0.33,-0.27
202201,0.25,-0.25
202202,0.12,-0.54
202203,0.86,-0.42
202204,1.65,-0.61
202205,3.64,0.14
202206,1.78,-1.91
