Nevada, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,49.1,8.2
201502,55.7,10.4
201503,61.8,10.3
201504,62.5,2.4
201505,67.8,-1.4
201506,86.7,7.3
201507,85.2,-3.1
201508,88.3,2.0
201509,81.6,4.0
201510,68.6,3.3
201511,47.2,-4.0
201512,40.8,-1.4
201601,40.5,-0.4
201602,50.5,5.2
201603,56.3,4.8
201604,62.9,2.8
201605,68.2,-1.0
201606,86.0,6.6
201607,90.6,2.3
201608,88.7,2.4
201609,77.7,0.1
201610,66.5,1.2
201611,56.0,4.8
201612,41.2,-1.0
201701,38.0,-2.9
201702,47.0,1.7
201703,58.7,7.2
201704,59.9,-0.2
201705,71.8,2.6
201706,84.7,5.3
201707,92.3,4.0
201708,88.7,2.4
201709,76.0,-1.6
201710,66.2,0.9
201711,56.8,5.6
201712,48.2,6.0
201801,49.7,8.8
201802,46.3,1.0
201803,51.2,-0.3
201804,64.0,3.9
201805,71.2,2.0
201806,84.2,4.8
201807,92.8,4.5
201808,89.4,3.1
201809,82.1,4.5
201810,63.4,-1.9
201811,52.6,1.4
201812,41.6,-0.6
201901,44.0,3.1
201902,39.2,-6.1
201903,50.7,-0.8
201904,62.8,2.7
201905,63.9,-5.3
201906,79.6,0.2
201907,88.7,0.4
201908,89.8,3.5
201909,76.5,-1.1
201910,61.5,-3.8
201911,55.4,4.2
201912,41.6,-0.6
202001,45.8,4.9
202002,49.8,4.5
202003,52.0,0.5
202004,62.5,2.4
202005,73.8,4.6
202006,80.6,1.2
202007,91.2,2.9
202008,92.0,5.7
202009,83.6,6.0
202010,72.1,6.8
202011,53.6,2.4
202012,44.6,2.4
202101,44.6,3.7
202102,46.6,1.3
202103,52.0,0.5
202104,64.5,4.4
202105,71.8,2.6
202106,88.8,9.4
202107,92.9,4.6
202108,88.4,2.1
202109,82.1,4.5
202110,62.4,-2.9
202111,58.2,7.0
202112,42.5,0.3
202201,45.9,5.0
202202,47.9,2.6
202203,56.1,4.6
202204,61.6,1.5
202205,69.0,-0.2
202206,82.6,3.2
