Nevada, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,26.4,7.4
201502,30.0,7.0
201503,33.4,5.9
201504,33.1,0.0
201505,43.1,2.3
201506,55.2,6.8
201507,56.6,0.7
201508,57.0,3.0
201509,50.1,4.3
201510,43.8,7.6
201511,24.6,-1.9
201512,20.8,0.7
201601,21.7,2.7
201602,25.5,2.5
201603,31.9,4.4
201604,37.4,4.3
201605,42.0,1.2
201606,53.3,4.9
201607,56.9,1.0
201608,55.5,1.5
201609,46.7,0.9
201610,39.9,3.7
201611,30.5,4.0
201612,19.7,-0.4
201701,20.2,1.2
201702,29.1,6.1
201703,32.6,5.1
201704,34.3,1.2
201705,42.5,1.7
201706,52.5,4.1
201707,60.1,4.2
201708,58.3,4.3
201709,47.3,1.5
201710,34.6,-1.6
201711,32.1,5.6
201712,21.4,1.3
201801,27.3,8.3
201802,21.0,-2.0
201803,27.8,0.3
201804,36.1,3.0
201805,44.3,3.5
201806,51.3,2.9
201807,61.1,5.2
201808,57.1,3.1
201809,48.0,2.2
201810,37.2,1.0
201811,26.2,-0.3
201812,22.3,2.2
201901,24.3,5.3
201902,20.7,-2.3
201903,29.4,1.9
201904,37.5,4.4
201905,39.6,-1.2
201906,49.1,0.7
201907,57.0,1.1
201908,56.4,2.4
201909,46.8,1.0
201910,29.6,-6.6
201911,28.2,1.7
201912,24.7,4.6
202001,24.8,5.8
202002,22.7,-0.3
202003,28.9,1.4
202004,35.2,2.1
202005,43.9,3.1
202006,49.4,1.0
202007,57.2,1.3
202008,59.1,5.1
202009,49.5,3.7
202010,38.5,2.3
202011,27.3,0.8
202012,20.2,0.1
202101,22.9,3.9
202102,24.5,1.5
202103,26.5,-1.0
202104,34.2,1.1
202105,42.6,1.8
202106,56.4,8.0
202107,62.6,6.7
202108,56.6,2.6
202109,49.0,3.2
202110,36.8,0.6
202111,32.2,5.7
202112,22.3,2.2
202201,22.4,3.4
202202,21.4,-1.6
202203,30.5,3.0
202204,32.9,-0.2
202205,39.8,-1.0
202206,51.3,2.9
