Nevada, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,-4.03
201502,-4.72
201503,-5.75
201504,-5.97
201505,-5.23
201506,-6.12
201507,-5.63
201508,-5.53
201509,-5.41
201510,0.78
201511,1.16
201512,1.40
201601,2.00
201602,-0.41
201603,-0.65
201604,-0.25
201605,-0.08
201606,-0.34
201607,-0.95
201608,-1.40
201609,-1.26
201610,-0.67
201611,-1.28
201612,0.78
201701,2.40
201702,2.78
201703,2.41
201704,2.43
201705,2.20
201706,2.22
201707,2.01
201708,1.66
201709,1.95
201710,-0.57
201711,-0.92
201712,-1.77
201801,-2.30
201802,-2.85
201803,-2.41
201804,-2.58
201805,-2.71
201806,-3.82
201807,-4.19
201808,-4.56
201809,-4.88
201810,0.33
201811,0.14
201812,0.02
201901,0.11
201902,1.36
201903,2.22
201904,2.22
201905,3.92
201906,4.45
201907,4.80
201908,-0.35
201909,-0.01
201910,-0.42
201911,-0.52
201912,-0.14
202001,-0.57
202002,-1.21
202003,-1.11
202004,-1.40
202005,-2.17
202006,-2.64
202007,-3.39
202008,-4.00
202009,-4.38
202010,-4.83
202011,-4.64
202012,-4.61
202101,-4.45
202102,-4.38
202103,-4.21
202104,-4.46
202105,-4.92
202106,-5.89
202107,-5.97
202108,-6.12
202109,-6.01
202110,-4.14
202111,-4.75
202112,-3.37
202201,-3.85
202202,-4.20
202203,-4.53
202204,-4.62
202205,-5.10
202206,-5.86
