New Hampshire, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,25.7,-1.9
201502,20.2,-9.4
201503,35.5,-3.8
201504,52.0,0.1
201505,73.5,8.3
201506,70.8,-3.0
201507,78.5,0.0
201508,78.9,3.1
201509,75.5,7.2
201510,56.5,-0.7
201511,50.2,7.2
201512,42.4,11.5
201601,31.4,3.8
201602,36.2,6.6
201603,45.6,6.3
201604,53.1,1.2
201605,66.9,1.7
201606,75.5,1.7
201607,80.8,2.3
201608,80.2,4.4
201609,72.9,4.6
201610,58.0,0.8
201611,46.9,3.9
201612,33.5,2.6
201701,33.9,6.3
201702,36.6,7.0
201703,35.1,-4.2
201704,56.9,5.0
201705,62.5,-2.7
201706,74.3,0.5
201707,77.6,-0.9
201708,76.0,0.2
201709,73.4,5.1
201710,65.4,8.2
201711,43.8,0.8
201712,27.7,-3.2
201801,27.8,0.2
201802,37.2,7.6
201803,39.2,-0.1
201804,48.0,-3.9
201805,71.3,6.1
201806,73.9,0.1
201807,82.1,3.6
201808,79.3,3.5
201809,71.1,2.8
201810,52.9,-4.3
201811,38.0,-5.0
201812,33.7,2.8
201901,27.7,0.1
201902,30.9,1.3
201903,38.9,-0.4
201904,52.8,0.9
201905,61.4,-3.8
201906,73.7,-0.1
201907,82.3,3.8
201908,78.1,2.3
201909,69.6,1.3
201910,57.4,0.2
201911,39.8,-3.2
201912,33.2,2.3
202001,33.9,6.3
202002,34.1,4.5
202003,44.3,5.0
202004,49.6,-2.3
202005,66.0,0.8
202006,76.8,3.0
202007,81.9,3.4
202008,78.3,2.5
202009,71.4,3.1
202010,56.9,-0.3
202011,49.0,6.0
202012,36.0,5.1
202101,30.2,2.6
202102,29.7,0.1
202103,44.8,5.5
202104,55.6,3.7
202105,66.9,1.7
202106,78.4,4.6
202107,74.6,-3.9
202108,79.0,3.2
202109,71.0,2.7
202110,60.9,3.7
202111,45.6,2.6
202112,36.9,6.0
202201,25.9,-1.7
202202,34.9,5.3
202203,42.3,3.0
202204,53.3,1.4
202205,70.4,5.2
202206,73.5,-0.3
