New Hampshire, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,3.5,-3.2
201502,-4.0,-11.3
201503,12.2,-6.2
201504,29.2,-0.3
201505,44.3,4.3
201506,49.6,0.4
201507,55.4,0.9
201508,56.2,3.9
201509,50.0,5.2
201510,33.9,-0.5
201511,29.1,3.9
201512,28.0,15.5
201601,14.3,7.6
201602,15.0,7.7
201603,24.9,6.5
201604,27.2,-2.3
201605,42.6,2.6
201606,49.8,0.6
201607,56.2,1.7
201608,56.1,3.8
201609,48.1,3.3
201610,38.1,3.7
201611,29.0,3.8
201612,15.2,2.7
201701,17.4,10.7
201702,16.8,9.5
201703,15.6,-2.8
201704,34.7,5.2
201705,41.8,1.8
201706,50.7,1.5
201707,55.4,0.9
201708,52.2,-0.1
201709,50.9,6.1
201710,42.3,7.9
201711,25.4,0.2
201712,11.5,-1.0
201801,8.9,2.2
201802,16.7,9.4
201803,21.5,3.1
201804,28.1,-1.4
201805,43.2,3.2
201806,49.0,-0.2
201807,57.6,3.1
201808,59.2,6.9
201809,51.2,6.4
201810,37.1,2.7
201811,24.3,-0.9
201812,15.7,3.2
201901,8.2,1.5
201902,11.0,3.7
201903,15.9,-2.5
201904,32.0,2.5
201905,41.2,1.2
201906,49.4,0.2
201907,57.7,3.2
201908,53.4,1.1
201909,45.4,0.6
201910,38.4,4.0
201911,23.1,-2.1
201912,16.3,3.8
202001,16.5,9.8
202002,14.3,7.0
202003,24.0,5.6
202004,29.5,0.0
202005,40.8,0.8
202006,51.1,1.9
202007,60.3,5.8
202008,54.8,2.5
202009,45.7,0.9
202010,37.2,2.8
202011,28.0,2.8
202012,20.0,7.5
202101,15.8,9.1
202102,11.4,4.1
202103,20.0,1.6
202104,32.4,2.9
202105,42.2,2.2
202106,53.8,4.6
202107,56.5,2.0
202108,59.3,7.0
202109,49.9,5.1
202110,43.4,9.0
202111,26.2,1.0
202112,21.1,8.6
202201,3.8,-2.9
202202,12.1,4.8
202203,21.6,3.2
202204,31.8,2.3
202205,44.0,4.0
202206,50.0,0.8
