New Hampshire, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,0.01
201502,-0.27
201503,-1.03
201504,-1.29
201505,-2.15
201506,1.28
201507,1.11
201508,0.87
201509,1.15
201510,1.39
201511,-0.84
201512,-0.15
201601,-0.68
201602,0.91
201603,-0.14
201604,-0.60
201605,-1.15
201606,-1.58
201607,-1.82
201608,-1.79
201609,-2.56
201610,-2.26
201611,-2.68
201612,0.20
201701,-0.20
201702,-0.09
201703,-0.23
201704,0.13
201705,1.17
201706,1.57
201707,1.47
201708,1.41
201709,0.81
201710,2.02
201711,-0.79
201712,-0.80
201801,0.33
201802,0.54
201803,0.19
201804,0.83
201805,-1.02
201806,-1.20
201807,0.19
201808,0.84
201809,1.06
201810,1.55
201811,2.96
201812,2.58
201901,3.15
201902,2.81
201903,1.77
201904,2.51
201905,2.59
201906,2.92
201907,2.42
201908,2.28
201909,1.49
201910,2.04
201911,1.79
201912,2.16
202001,1.70
202002,1.73
202003,1.29
202004,1.79
202005,-0.44
202006,-1.12
202007,-1.05
202008,-1.65
202009,-2.54
202010,-1.84
202011,-2.19
202012,-1.44
202101,-1.76
202102,-1.71
202103,-2.28
202104,-2.07
202105,-2.24
202106,-2.94
202107,2.83
202108,2.44
202109,2.52
202110,2.72
202111,-0.51
202112,-0.55
202201,-0.96
202202,-0.18
202203,-0.32
202204,-0.06
202205,-0.63
202206,-1.00
