New Hampshire, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,3.35,0.06
201502,2.42,-0.46
201503,1.65,-1.87
201504,2.80,-0.76
201505,1.95,-1.67
201506,7.34,3.40
201507,3.71,-0.31
201508,3.59,-0.18
201509,5.36,1.56
201510,4.05,0.53
201511,2.36,-1.59
201512,5.43,1.85
201601,1.97,-1.32
201602,4.72,1.84
201603,3.46,-0.06
201604,2.53,-1.03
201605,2.43,-1.19
201606,2.89,-1.05
201607,3.46,-0.56
201608,4.17,0.40
201609,2.11,-1.69
201610,4.60,1.08
201611,3.04,-0.91
201612,4.19,0.61
201701,2.82,-0.47
201702,3.12,0.24
201703,3.11,-0.41
201704,4.48,0.92
201705,6.55,2.93
201706,5.24,1.30
201707,3.89,-0.13
201708,3.66,-0.11
201709,2.96,-0.84
201710,7.83,4.31
201711,2.04,-1.91
201712,3.47,-0.11
201801,4.14,0.85
201802,3.43,0.55
201803,2.76,-0.76
201804,4.66,1.10
201805,1.65,-1.97
201806,3.75,-0.19
201807,4.96,0.94
201808,5.86,2.09
201809,4.80,1.00
201810,4.54,1.02
201811,7.75,3.80
201812,3.50,-0.08
201901,5.41,2.12
201902,2.93,0.05
201903,1.73,-1.79
201904,5.73,2.17
201905,4.54,0.92
201906,5.30,1.36
201907,3.67,-0.35
201908,4.03,0.26
201909,2.34,-1.46
201910,5.83,2.31
201911,3.70,-0.25
201912,5.04,1.46
202001,2.74,-0.55
202002,3.35,0.47
202003,3.08,-0.44
202004,4.79,1.23
202005,2.72,-0.90
202006,2.47,-1.47
202007,4.60,0.58
202008,2.66,-1.11
202009,1.69,-2.11
202010,5.65,2.13
202011,3.08,-0.87
202012,4.97,1.39
202101,2.15,-1.14
202102,2.69,-0.19
202103,1.80,-1.72
202104,3.94,0.38
202105,2.99,-0.63
202106,2.22,-1.72
202107,10.58,6.56
202108,3.60,-0.17
202109,4.73,0.93
202110,4.94,1.42
202111,2.85,-1.10
202112,3.48,-0.10
202201,2.17,-1.12
202202,4.28,1.40
202203,3.07,-0.45
202204,4.30,0.74
202205,2.82,-0.80
202206,3.05,-0.89
