New Hampshire, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,14.6,-2.5
201502,8.1,-10.4
201503,23.8,-5.0
201504,40.6,-0.1
201505,58.9,6.3
201506,60.2,-1.3
201507,66.9,0.4
201508,67.6,3.5
201509,62.7,6.2
201510,45.2,-0.6
201511,39.6,5.5
201512,35.2,13.5
201601,22.9,5.8
201602,25.6,7.1
201603,35.2,6.4
201604,40.2,-0.5
201605,54.8,2.2
201606,62.6,1.1
201607,68.5,2.0
201608,68.2,4.1
201609,60.5,4.0
201610,48.0,2.2
201611,37.9,3.8
201612,24.4,2.7
201701,25.7,8.6
201702,26.7,8.2
201703,25.3,-3.5
201704,45.8,5.1
201705,52.2,-0.4
201706,62.6,1.1
201707,66.5,0.0
201708,64.1,0.0
201709,62.2,5.7
201710,53.9,8.1
201711,34.6,0.5
201712,19.6,-2.1
201801,18.3,1.2
201802,27.0,8.5
201803,30.3,1.5
201804,38.0,-2.7
201805,57.3,4.7
201806,61.4,-0.1
201807,69.9,3.4
201808,69.2,5.1
201809,61.1,4.6
201810,45.0,-0.8
201811,31.2,-2.9
201812,24.7,3.0
201901,18.0,0.9
201902,21.0,2.5
201903,27.4,-1.4
201904,42.4,1.7
201905,51.3,-1.3
201906,61.6,0.1
201907,70.0,3.5
201908,65.7,1.6
201909,57.5,1.0
201910,47.9,2.1
201911,31.5,-2.6
201912,24.7,3.0
202001,25.2,8.1
202002,24.2,5.7
202003,34.2,5.4
202004,39.6,-1.1
202005,53.4,0.8
202006,64.0,2.5
202007,71.1,4.6
202008,66.5,2.4
202009,58.5,2.0
202010,47.0,1.2
202011,38.5,4.4
202012,28.0,6.3
202101,23.0,5.9
202102,20.6,2.1
202103,32.4,3.6
202104,44.0,3.3
202105,54.5,1.9
202106,66.1,4.6
202107,65.5,-1.0
202108,69.2,5.1
202109,60.5,4.0
202110,52.1,6.3
202111,35.9,1.8
202112,29.0,7.3
202201,14.8,-2.3
202202,23.5,5.0
202203,32.0,3.2
202204,42.6,1.9
202205,57.2,4.6
202206,61.8,0.3
