New Jersey, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,36.3,-1.9
201502,32.3,-7.5
201503,45.8,-3.3
201504,62.9,2.5
201505,78.3,7.0
201506,79.8,0.1
201507,84.9,0.8
201508,85.8,3.7
201509,81.6,5.9
201510,65.4,0.3
201511,59.7,7.1
201512,56.0,14.6
201601,40.9,2.7
201602,45.5,5.7
201603,58.1,9.0
201604,62.8,2.4
201605,70.0,-1.3
201606,82.2,2.5
201607,87.5,3.4
201608,87.4,5.3
201609,80.4,4.7
201610,67.2,2.1
201611,57.5,4.9
201612,44.8,3.4
201701,43.3,5.1
201702,50.5,10.7
201703,48.6,-0.5
201704,66.8,6.4
201705,69.5,-1.8
201706,81.3,1.6
201707,85.0,0.9
201708,81.4,-0.7
201709,78.2,2.5
201710,71.1,6.0
201711,54.8,2.2
201712,41.2,-0.2
201801,38.9,0.7
201802,48.6,8.8
201803,46.6,-2.5
201804,58.8,-1.6
201805,76.0,4.7
201806,80.4,0.7
201807,86.7,2.6
201808,86.0,3.9
201809,77.6,1.9
201810,65.1,0.0
201811,50.8,-1.8
201812,45.8,4.4
201901,40.6,2.4
201902,43.2,3.4
201903,49.5,0.4
201904,65.6,5.2
201905,72.6,1.3
201906,81.1,1.4
201907,88.3,4.2
201908,84.3,2.2
201909,80.1,4.4
201910,67.4,2.3
201911,51.2,-1.4
201912,44.6,3.2
202001,45.9,7.7
202002,47.7,7.9
202003,56.1,7.0
202004,58.6,-1.8
202005,69.5,-1.8
202006,82.6,2.9
202007,88.7,4.6
202008,84.8,2.7
202009,76.6,0.9
202010,66.2,1.1
202011,60.2,7.6
202012,45.4,4.0
202101,41.2,3.0
202102,39.2,-0.6
202103,55.0,5.9
202104,64.4,4.0
202105,72.8,1.5
202106,82.5,2.8
202107,85.5,1.4
202108,84.7,2.6
202109,78.4,2.7
202110,70.0,4.9
202111,54.2,1.6
202112,49.5,8.1
202201,37.7,-0.5
202202,46.7,6.9
202203,54.2,5.1
202204,61.8,1.4
202205,73.4,2.1
202206,80.8,1.1
