New Jersey, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,19.5,-1.5
201502,12.3,-9.1
201503,25.9,-3.5
201504,40.1,1.8
201505,53.8,5.5
201506,60.8,3.4
201507,65.5,2.7
201508,62.7,1.6
201509,59.8,5.5
201510,43.6,0.7
201511,39.6,5.9
201512,40.0,15.4
201601,22.0,1.0
201602,26.5,5.1
201603,35.9,6.5
201604,38.6,0.3
201605,50.4,2.1
201606,59.1,1.7
201607,66.9,4.1
201608,66.4,5.3
201609,59.1,4.8
201610,46.2,3.3
201611,35.8,2.1
201612,27.9,3.3
201701,29.2,8.2
201702,30.2,8.8
201703,29.2,-0.2
201704,45.0,6.7
201705,50.4,2.1
201706,59.5,2.1
201707,66.0,3.2
201708,61.8,0.7
201709,58.3,4.0
201710,49.8,6.9
201711,34.0,0.3
201712,25.2,0.6
201801,19.5,-1.5
201802,30.3,8.9
201803,29.9,0.5
201804,37.1,-1.2
201805,54.5,6.2
201806,59.7,2.3
201807,65.6,2.8
201808,67.7,6.6
201809,62.8,8.5
201810,47.6,4.7
201811,34.2,0.5
201812,29.9,5.3
201901,22.7,1.7
201902,26.1,4.7
201903,29.4,0.0
201904,44.0,5.7
201905,52.9,4.6
201906,60.2,2.8
201907,67.6,4.8
201908,64.6,3.5
201909,57.8,3.5
201910,49.0,6.1
201911,31.4,-2.3
201912,28.3,3.7
202001,28.7,7.7
202002,30.5,9.1
202003,36.5,7.1
202004,38.7,0.4
202005,48.6,0.3
202006,60.4,3.0
202007,68.8,6.0
202008,66.2,5.1
202009,56.9,2.6
202010,47.8,4.9
202011,38.2,4.5
202012,28.6,4.0
202101,26.1,5.1
202102,24.9,3.5
202103,33.0,3.6
202104,40.8,2.5
202105,48.8,0.5
202106,61.0,3.6
202107,65.8,3.0
202108,66.8,5.7
202109,59.0,4.7
202110,52.0,9.1
202111,32.9,-0.8
202112,32.9,8.3
202201,19.3,-1.7
202202,24.1,2.7
202203,33.2,3.8
202204,40.3,2.0
202205,52.8,4.5
202206,58.9,1.5
