New Jersey, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,0.88
201502,0.45
201503,0.76
201504,-0.49
201505,-1.59
201506,1.54
201507,-0.17
201508,-0.91
201509,-1.17
201510,-1.00
201511,-1.60
201512,-1.39
201601,-1.30
201602,-0.74
201603,-1.69
201604,-2.12
201605,-1.65
201606,-2.05
201607,-1.23
201608,-2.00
201609,-2.17
201610,-2.46
201611,-2.93
201612,-2.95
201701,-2.58
201702,-3.11
201703,-2.71
201704,-2.70
201705,0.82
201706,0.54
201707,1.05
201708,1.27
201709,-0.46
201710,-0.04
201711,-0.59
201712,-1.18
201801,-1.29
201802,1.24
201803,1.43
201804,1.50
201805,1.72
201806,1.35
201807,1.62
201808,1.68
201809,2.59
201810,2.93
201811,4.37
201812,4.72
201901,4.66
201902,4.28
201903,3.82
201904,3.27
201905,3.72
201906,3.85
201907,3.98
201908,-0.14
201909,-0.98
201910,0.60
201911,0.11
201912,0.73
202001,-0.49
202002,-0.69
202003,-0.97
202004,-0.75
202005,-1.12
202006,-1.37
202007,0.41
202008,0.72
202009,0.84
202010,1.43
202011,1.36
202012,1.85
202101,1.08
202102,1.78
202103,-0.18
202104,-0.82
202105,-0.81
202106,-0.97
202107,0.97
202108,1.59
202109,2.29
202110,2.70
202111,-0.76
202112,-1.57
202201,-1.39
202202,-1.42
202203,-1.89
202204,-1.29
202205,-0.87
202206,-0.92
