New Jersey, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,4.43,0.93
201502,2.18,-0.87
201503,4.55,0.66
201504,2.67,-1.08
201505,1.21,-2.51
201506,8.12,4.39
201507,3.68,-0.80
201508,2.26,-2.40
201509,3.60,-0.16
201510,4.02,0.70
201511,2.30,-1.10
201512,4.84,1.14
201601,3.19,-0.31
201602,4.08,1.03
201603,1.87,-2.02
201604,2.26,-1.49
201605,4.79,1.07
201606,2.40,-1.33
201607,6.97,2.49
201608,2.08,-2.58
201609,3.45,-0.31
201610,2.80,-0.52
201611,2.43,-0.97
201612,3.27,-0.43
201701,3.71,0.21
201702,1.64,-1.41
201703,4.06,0.17
201704,3.82,0.07
201705,6.51,2.79
201706,3.32,-0.41
201707,6.29,1.81
201708,5.17,0.51
201709,2.27,-1.49
201710,4.97,1.65
201711,1.70,-1.70
201712,1.46,-2.24
201801,2.72,-0.78
201802,6.08,3.03
201803,4.64,0.75
201804,4.17,0.42
201805,5.80,2.08
201806,3.30,-0.43
201807,5.91,1.43
201808,5.56,0.90
201809,7.57,3.81
201810,4.46,1.14
201811,8.65,5.25
201812,5.90,2.20
201901,4.49,0.99
201902,3.26,0.21
201903,3.84,-0.05
201904,3.97,0.22
201905,6.75,3.03
201906,5.15,1.42
201907,6.14,1.66
201908,3.73,-0.93
201909,1.25,-2.51
201910,5.71,2.39
201911,1.94,-1.46
201912,5.32,1.62
202001,2.29,-1.21
202002,2.79,-0.26
202003,3.61,-0.28
202004,3.98,0.23
202005,2.47,-1.25
202006,3.05,-0.68
202007,6.69,2.21
202008,6.09,1.43
202009,4.41,0.65
202010,5.03,1.71
202011,4.09,0.69
202012,5.35,1.65
202101,1.86,-1.64
202102,4.73,1.68
202103,3.84,-0.05
202104,2.35,-1.40
202105,3.84,0.12
202106,3.37,-0.36
202107,7.62,3.14
202108,6.59,1.93
202109,6.34,2.58
202110,5.06,1.74
202111,1.01,-2.39
202112,1.26,-2.44
202201,3.37,-0.13
202202,2.71,-0.34
202203,2.63,-1.26
202204,5.03,1.28
202205,5.26,1.54
202206,3.39,-0.34
