New Jersey, Average Temperature
Units: Degrees Fahrenheit
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,27.9,-4.1
201502,22.3,-12.6
201503,35.9,-5.8
201504,51.5,-0.2
201505,66.1,3.9
201506,70.3,-0.3
201507,75.2,-1.5
201508,74.3,-0.8
201509,70.7,1.7
201510,54.5,-3.2
201511,49.7,4.4
201512,48.0,9.4
201601,31.4,-0.6
201602,36.0,1.1
201603,47.0,5.3
201604,50.7,-1.0
201605,60.2,-2.0
201606,70.6,0.0
201607,77.2,0.5
201608,76.9,1.8
201609,69.7,0.7
201610,56.7,-1.0
201611,46.7,1.4
201612,36.3,-2.3
201701,36.2,4.2
201702,40.4,5.5
201703,38.9,-2.8
201704,55.9,4.2
201705,60.0,-2.2
201706,70.4,-0.2
201707,75.5,-1.2
201708,71.6,-3.5
201709,68.2,-0.8
201710,60.4,2.7
201711,44.4,-0.9
201712,33.2,-5.4
201801,29.2,-2.8
201802,39.4,4.5
201803,38.3,-3.4
201804,48.0,-3.7
201805,65.2,3.0
201806,70.1,-0.5
201807,76.2,-0.5
201808,76.8,1.7
201809,70.2,1.2
201810,56.4,-1.3
201811,42.5,-2.8
201812,37.8,-0.8
201901,31.6,-0.4
201902,34.7,-0.2
201903,39.4,-2.3
201904,54.8,3.1
201905,62.8,0.6
201906,70.6,0.0
201907,78.0,1.3
201908,74.5,-0.6
201909,69.0,0.0
201910,58.2,0.5
201911,41.3,-4.0
201912,36.4,-2.2
202001,37.3,5.3
202002,39.1,4.2
202003,46.3,4.6
202004,48.7,-3.0
202005,59.1,-3.1
202006,71.5,0.9
202007,78.8,2.1
202008,75.5,0.4
202009,66.8,-2.2
202010,57.0,-0.7
202011,49.2,3.9
202012,37.0,-1.6
202101,33.7,1.7
202102,32.1,-2.8
202103,44.0,2.3
202104,52.6,0.9
202105,60.8,-1.4
202106,71.8,1.2
202107,75.7,-1.0
202108,75.8,0.7
202109,68.7,-0.3
202110,61.0,3.3
202111,43.6,-1.7
202112,41.2,2.6
202201,28.5,-3.5
202202,35.4,0.5
202203,43.7,2.0
202204,51.0,-0.7
202205,63.1,0.9
202206,69.8,-0.8
