New Mexico, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,47.8,0.3
201502,56.3,4.3
201503,62.7,4.2
201504,68.3,1.1
201505,72.7,-3.6
201506,86.9,1.4
201507,86.6,-0.6
201508,88.1,3.2
201509,83.6,4.5
201510,70.5,1.1
201511,57.7,0.9
201512,49.5,1.4
201601,47.5,0.0
201602,58.7,6.7
201603,65.2,6.7
201604,67.9,0.7
201605,75.0,-1.3
201606,89.3,3.8
201607,92.9,5.7
201608,83.4,-1.5
201609,79.9,0.8
201610,76.0,6.6
201611,60.0,3.2
201612,51.2,3.1
201701,49.0,1.5
201702,58.9,6.9
201703,68.5,10.0
201704,69.8,2.6
201705,76.5,0.2
201706,89.9,4.4
201707,89.1,1.9
201708,84.2,-0.7
201709,80.9,1.8
201710,72.3,2.9
201711,66.2,9.4
201712,54.6,6.5
201801,53.7,6.2
201802,56.5,4.5
201803,63.1,4.6
201804,72.4,5.2
201805,83.1,6.8
201806,91.2,5.7
201807,89.4,2.2
201808,87.4,2.5
201809,81.6,2.5
201810,65.7,-3.7
201811,55.8,-1.0
201812,48.2,0.1
201901,48.6,1.1
201902,52.0,0.0
201903,59.8,1.3
201904,69.6,2.4
201905,73.4,-2.9
201906,85.9,0.4
201907,91.0,3.8
201908,90.6,5.7
201909,83.4,4.3
201910,68.2,-1.2
201911,58.1,1.3
201912,49.9,1.8
202001,50.7,3.2
202002,52.2,0.2
202003,61.4,2.9
202004,70.3,3.1
202005,82.6,6.3
202006,89.4,3.9
202007,91.7,4.5
202008,92.2,7.3
202009,81.3,2.2
202010,74.6,5.2
202011,62.7,5.9
202012,50.2,2.1
202101,49.3,1.8
202102,52.0,0.0
202103,60.4,1.9
202104,69.1,1.9
202105,78.9,2.6
202106,88.8,3.3
202107,86.2,-1.0
202108,85.9,1.0
202109,83.4,4.3
202110,71.5,2.1
202111,64.4,7.6
202112,56.6,8.5
202201,51.4,3.9
202202,51.3,-0.7
202203,60.9,2.4
202204,72.8,5.6
202205,82.8,6.5
202206,87.1,1.6
