New Mexico, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,23.4,3.6
201502,26.6,3.1
201503,32.5,4.1
201504,36.7,1.1
201505,43.8,-0.3
201506,56.4,3.5
201507,59.6,1.5
201508,58.8,1.9
201509,54.3,4.5
201510,44.5,5.7
201511,29.0,1.6
201512,22.3,1.8
201601,21.1,1.3
201602,25.4,1.9
201603,31.4,3.0
201604,36.8,1.2
201605,43.7,-0.4
201606,56.6,3.7
201607,60.8,2.7
201608,56.9,0.0
201609,51.9,2.1
201610,43.1,4.3
201611,33.3,5.9
201612,24.5,4.0
201701,25.3,5.5
201702,30.1,6.6
201703,33.9,5.5
201704,37.7,2.1
201705,43.7,-0.4
201706,55.6,2.7
201707,60.2,2.1
201708,57.4,0.5
201709,51.8,2.0
201710,40.5,1.7
201711,34.3,6.9
201712,22.9,2.4
201801,20.3,0.5
201802,26.1,2.6
201803,31.2,2.8
201804,37.8,2.2
201805,47.9,3.8
201806,57.3,4.4
201807,60.7,2.6
201808,58.6,1.7
201809,52.2,2.4
201810,42.1,3.3
201811,26.5,-0.9
201812,23.0,2.5
201901,22.6,2.8
201902,24.1,0.6
201903,31.5,3.1
201904,38.3,2.7
201905,42.8,-1.3
201906,53.0,0.1
201907,60.1,2.0
201908,60.0,3.1
201909,54.7,4.9
201910,36.2,-2.6
201911,28.9,1.5
201912,24.5,4.0
202001,23.5,3.7
202002,24.8,1.3
202003,34.7,6.3
202004,37.7,2.1
202005,47.7,3.6
202006,55.6,2.7
202007,61.5,3.4
202008,60.1,3.2
202009,48.8,-1.0
202010,38.5,-0.3
202011,32.3,4.9
202012,19.7,-0.8
202101,20.8,1.0
202102,22.4,-1.1
202103,29.3,0.9
202104,37.2,1.6
202105,46.5,2.4
202106,57.4,4.5
202107,60.4,2.3
202108,58.4,1.5
202109,53.2,3.4
202110,39.6,0.8
202111,30.9,3.5
202112,27.4,6.9
202201,20.0,0.2
202202,18.9,-4.6
202203,27.8,-0.6
202204,37.8,2.2
202205,46.8,2.7
202206,57.9,5.0
