New Mexico, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,0.83
201502,0.63
201503,0.34
201504,0.22
201505,1.44
201506,1.51
201507,2.58
201508,1.79
201509,0.84
201510,2.01
201511,2.11
201512,2.20
201601,-0.06
201602,-0.63
201603,-1.53
201604,-1.45
201605,-1.44
201606,-1.62
201607,-2.69
201608,-1.84
201609,-1.68
201610,-2.44
201611,0.40
201612,0.59
201701,1.47
201702,-0.35
201703,-1.09
201704,-1.03
201705,-1.20
201706,-1.38
201707,0.18
201708,0.54
201709,0.89
201710,-0.16
201711,-1.09
201712,-1.73
201801,-2.30
201802,-2.35
201803,-3.04
201804,-3.86
201805,-4.62
201806,-4.97
201807,-4.64
201808,-4.83
201809,-4.45
201810,-2.69
201811,-2.60
201812,-2.16
201901,-2.07
201902,-1.89
201903,-1.46
201904,-1.11
201905,-1.03
201906,-1.25
201907,-1.81
201908,-2.74
201909,-2.93
201910,-2.49
201911,-1.25
201912,-1.14
202001,-1.23
202002,-0.96
202003,-0.66
202004,-0.95
202005,-1.85
202006,-2.52
202007,-2.68
202008,-4.27
202009,-4.63
202010,-4.73
202011,-4.88
202012,-4.70
202101,-4.48
202102,-4.27
202103,-4.07
202104,-4.25
202105,-4.28
202106,-3.92
202107,-3.12
202108,-3.08
202109,-3.38
202110,-3.56
202111,-4.01
202112,-4.17
202201,-4.21
202202,-4.08
202203,-4.06
202204,-4.89
202205,-5.77
202206,-4.58
