New Mexico, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,1.41,0.80
201502,0.72,0.08
201503,0.71,-0.02
201504,0.74,-0.01
201505,2.54,1.49
201506,1.57,0.40
201507,3.70,1.36
201508,2.05,-0.42
201509,1.10,-0.57
201510,2.89,1.74
201511,0.85,0.19
201512,1.05,0.31
201601,0.52,-0.09
201602,0.27,-0.37
201603,0.08,-0.65
201604,0.98,0.23
201605,0.98,-0.07
201606,1.05,-0.12
201607,1.25,-1.09
201608,3.21,0.74
201609,1.83,0.16
201610,0.32,-0.83
201611,1.34,0.68
201612,1.11,0.37
201701,1.71,1.10
201702,0.61,-0.03
201703,0.48,-0.25
201704,0.99,0.24
201705,0.73,-0.32
201706,0.94,-0.23
201707,2.65,0.31
201708,2.98,0.51
201709,2.42,0.75
201710,1.07,-0.08
201711,0.11,-0.55
201712,0.11,-0.63
201801,0.16,-0.45
201802,0.74,0.10
201803,0.27,-0.46
201804,0.15,-0.60
201805,0.47,-0.58
201806,0.87,-0.30
201807,2.43,0.09
201808,1.94,-0.53
201809,1.81,0.14
201810,2.75,1.60
201811,0.22,-0.44
201812,0.91,0.17
201901,0.55,-0.06
201902,0.61,-0.03
201903,1.03,0.30
201904,0.83,0.08
201905,1.00,-0.05
201906,0.86,-0.31
201907,1.74,-0.60
201908,1.54,-0.93
201909,1.50,-0.17
201910,1.20,0.05
201911,1.78,1.12
201912,0.74,0.00
202001,0.52,-0.09
202002,0.81,0.17
202003,1.20,0.47
202004,0.19,-0.56
202005,0.20,-0.85
202006,0.46,-0.71
202007,2.20,-0.14
202008,0.71,-1.76
202009,0.80,-0.87
202010,0.58,-0.57
202011,0.28,-0.38
202012,0.40,-0.34
202101,0.49,-0.12
202102,0.42,-0.22
202103,0.54,-0.19
202104,0.37,-0.38
202105,1.08,0.03
202106,1.71,0.54
202107,2.95,0.61
202108,2.34,-0.13
202109,1.27,-0.40
202110,0.58,-0.57
202111,0.10,-0.56
202112,0.52,-0.22
202201,0.36,-0.25
202202,0.30,-0.34
202203,0.51,-0.22
202204,0.05,-0.70
202205,0.18,-0.87
202206,2.48,1.31
