New Mexico, Average Temperature
Units: Degrees Fahrenheit
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,35.6,-0.3
201502,41.4,1.6
201503,47.6,0.5
201504,52.5,-1.3
201505,58.3,-3.5
201506,71.6,-0.8
201507,73.1,-1.9
201508,73.4,0.4
201509,69.0,1.8
201510,57.5,1.5
201511,43.4,-2.3
201512,35.9,-1.6
201601,34.3,-1.6
201602,42.0,2.2
201603,48.3,1.2
201604,52.3,-1.5
201605,59.4,-2.4
201606,73.0,0.6
201607,76.9,1.9
201608,70.1,-2.9
201609,65.9,-1.3
201610,59.6,3.6
201611,46.7,1.0
201612,37.8,0.3
201701,37.2,1.3
201702,44.5,4.7
201703,51.2,4.1
201704,53.7,-0.1
201705,60.1,-1.7
201706,72.8,0.4
201707,74.6,-0.4
201708,70.8,-2.2
201709,66.4,-0.8
201710,56.4,0.4
201711,50.2,4.5
201712,38.7,1.2
201801,37.0,1.1
201802,41.3,1.5
201803,47.2,0.1
201804,55.1,1.3
201805,65.5,3.7
201806,74.3,1.9
201807,75.1,0.1
201808,73.0,0.0
201809,66.9,-0.3
201810,53.9,-2.1
201811,41.2,-4.5
201812,35.6,-1.9
201901,35.6,-0.3
201902,38.1,-1.7
201903,45.6,-1.5
201904,53.9,0.1
201905,58.1,-3.7
201906,69.4,-3.0
201907,75.5,0.5
201908,75.3,2.3
201909,69.0,1.8
201910,52.2,-3.8
201911,43.5,-2.2
201912,37.2,-0.3
202001,37.1,1.2
202002,38.5,-1.3
202003,48.0,0.9
202004,54.0,0.2
202005,65.1,3.3
202006,72.5,0.1
202007,76.6,1.6
202008,76.2,3.2
202009,65.0,-2.2
202010,56.6,0.6
202011,47.5,1.8
202012,35.0,-2.5
202101,35.0,-0.9
202102,37.2,-2.6
202103,44.8,-2.3
202104,53.2,-0.6
202105,62.7,0.9
202106,73.1,0.7
202107,73.3,-1.7
202108,72.1,-0.9
202109,68.3,1.1
202110,55.5,-0.5
202111,47.6,1.9
202112,42.0,4.5
202201,35.7,-0.2
202202,35.1,-4.7
202203,44.4,-2.7
202204,55.3,1.5
202205,64.8,3.0
202206,72.5,0.1
